:START_ID,:END_ID,:TYPE
C1518406,C0205145,BE_A_MECHANISM_FOR
C0599773,C0162326,BE_A_MECHANISM_FOR
C0032136,C0082774,DELIVER
C0032136,C0014442,DELIVER
C3658200,C0035668,BE_TRANSCRIBED_INTO
C0242961,C4704710,BIND_TO
C0175816,C0012854,CLEAVE
C0017262,C1521840,LEAD_TO
C1334043,C0012854,REPAIR
C1334043,C0332453,INTRODUCE
C0599773,C1721104,REPAIR
C0599773,C0162326,INTRODUCE
C0175816,C0314603,CAN_BE_USED_FOR
C0175816,C0026882,CAN_BE_USED_FOR
C0175816,C0017428,USE_FOR
C0026882,C0006826,USE_TO_MODEL
C0175816,C0017337,USE_FOR
C0175816,C0012634,CORRECT
C0031843,C0007634,BE_COMPARTMENTALIZED_WITHIN
C1185625,C0007634,ALLOW_CREATION_OF
C0033684,C0230779,BE_SYNTHESIZED_IN
C0033684,C0018042,BE_ASSEMBLED_IN
C0033684,C1179933,BE_SYNTHESIZED_ON
C0230789,C0596715,BE_SITE_OF
C0230789,C1157478,BE_SITE_OF
C0230789,C0392747,BE_SITE_OF
C0007634,C0567416,CATABOLIZE
C0007634,C0033684,CATABOLIZE
C0007634,C0029219,CATABOLIZE
C0208355,C0033684,FUNCTION
C0208355,C0030685,FUNCTION
C0030956,C0019629,PRESENT_BY
C0030956,C1749719,HELP_DRIVE
C3824143,C1513372,CAN_TRIGGER
C3824143,C1513372,CAN_SHUT_DOWN
C0024369,C0007634,BE_A
C0024369,C0014442,CONTAIN
C0391845,C0178735,DIGEST
C0024369,C0031308,DEGRADE
C0024369,C0007634,DEGRADE
C0752063,C0007634,BE_A
C0752063,C0007367,CONTAIN
C0752063,C0027021,CONTAIN
C0752063,C0014442,CONTAIN
C1383501,C0025519,HAVE_ROLE_IN
C1383501,C0597295,HAVE_ROLE_IN
C0026237,C0542479,HAVE_ROLE_IN
C0026237,C0162638,HAVE_ROLE_IN
C0230779,C0033684,HAVE_ROLE_IN
C0230789,C0033666,HAVE_ROLE_IN
C0018042,C0033666,HAVE_ROLE_IN
C0007610,C0040649,HAVE_ROLE_IN
C0034850,C0599814,HAVE_ROLE_IN
C0024369,C1523935,HAVE_ROLE_IN
C0752063,C1158373,HAVE_ROLE_IN
C0752063,C0699900,HAVE_ROLE_IN
C0699900,C0020281,GENERATE
C0333262,C0520510,SHUTTLE
C0333262,C0520510,DIRECT
C0010853,C0033684,ORCHESTRATE
C0010853,C0007634,REGULATE
C0010853,C0007634,REGULATE
C0030013,C0026237,OCCUR_IN
C0030013,C0001480,PRODUCE
C0001480,C0007634,POWER
C0026237,C0439879,BE_SOURCE_OF
C0026237,C0018966,BE_SITE_OF_SYNTHESIS_OF
C0026237,C0007634,CONTAIN
C0007634,C0162638,CAN_INITIATE
C0007634,C0162638,CAN_REGULATE
C0007595,C0424589,REQUIRE
C0007595,C5670644,REQUIRE
C0024501,C0424589,REQUIRE
C0024501,C5670644,REQUIRE
C0543484,C0024369,OCCUR_IN
C0007603,C1545588,HAVE_FUNCTION
C0007603,C1624575,HAVE_FUNCTION
C0007603,C0023779,BE
C0598629,C1706912,FORM
C0014239,C0031676,BE_COMPOSED_OF
C0023779,C0007613,BE_IMPORTANT_IN
C0031621,C0025255,LOCATE_ON
C0031621,C0033684,SERVE_AS
C0031669,C0071655,HYDROLYZE
C0071655,C0043791,GENERATE
C0071655,C2246331,GENERATE
C0031623,C0205102,BE_LOCATED_ON
C0031623,C2825491,CONFER
C0162638,C0162638,BE_A
C0031623,C1710082,BECOME
C0031623,C1521761,SERVE_AS
C0017950,C0521119,EXPRESS_ON
C0037906,C0521119,EXPRESS_ON
C0017950,C0007634,BE_IMPORTANT_IN
C0017950,C0007634,BE_IMPORTANT_IN
C0449432,C1167250,LEAD_TO
C0025252,C1167250,ACCUMULATE_IN
C0033684,C0037420,IMPACT
C0033684,C1155494,IMPACT
C0007603,C0033684,CONTAIN
C0007603,C0017968,CONTAIN
C0033684,C0870883,INVOLVE_IN
C0033684,C0567416,INVOLVE_IN
C0033684,C0007634,INVOLVE_IN
C0021699,C0033684,BE_A
C0007603,C0031676,COMPOSE_OF
C0007603,C0008377,COMPOSE_OF
C0007603,C0033684,COMPOSE_OF
C1959616,C1708664,LOCATE_IN
C0037906,C1708664,LOCATE_IN
C0031623,C1708664,LOCATE_IN
C0031618,C1708664,LOCATE_IN
C0017950,C0014239,LOCATE_ON
C0017950,C0007634,CONTRIBUTE_TO
C0008377,C1167250,CREATE
C0025252,C1333498,ASSOCIATE_WITH
C0025252,C0033684,ASSOCIATE_WITH
C0021699,C0037083,TRANSLATE
C0021699,C1446409,CONTAIN
C1446409,C0033684,ANCHOR
C0033684,C0031676,ANCHOR_TO
C0033684,C1383501,SYNTHESIZE_IN
C0033684,C0441833,ATTACH_TO
C0033684,C0015684,ATTACH_TO
C0441833,C0007603,INSERT_INTO
C0015684,C0007603,INSERT_INTO
C0025255,C0061688,MEDIATE_BY
C1333498,C0021699,ASSOCIATE_WITH
C0021699,C1333498,ANCHOR
C0007603,C0439855,FORM
C0597357,C0392148,DIMERIZE
C0597357,C0392148,TRIMERIZE
C0025252,C0010853,INTERACT_WITH
C0025252,C0015350,INTERACT_WITH
C0007603,C0007004,STUD_WITH
C0061622,C1706912,FUNCTION_AS
C0061622,C3821327,INVOLVE_IN
C0061622,C0007634,INVOLVE_IN
C0030054,C0023768,DIFFUSE_ACROSS
C0007012,C0023768,DIFFUSE_ACROSS
C0598629,C0023768,DIFFUSE_ACROSS
C0043047,C0025255,CROSS
C0023768,C0567416,BE_A_BARRIER_TO
C0023768,C0022023,BE_IMPERMEANT_TO
C0567416,C0007603,REQUIRE
C0019139,C0599635,USE
C0019139,C0007292,USE
C0599635,C0475370,CREATE
C0475370,C0026649,PERMIT
C0007292,C0205369,BIND
C0007292,C0025255,FUNCTION
C0086045,C0005528,DRIVE
C0013790,C0005528,DRIVE
C0005529,C0567416,ACCOMPLISH_BY
C0005529,C0020291,USE_ENERGY_FROM
C0005529,C1948027,USE_ENERGY_FROM
C0033684,C4505125,BE_A
C0033684,C0010124,PUMP
C0033684,C0007634,MAY_CAUSE
C0025255,C0043047,BE_PERMEABLE_TO
C0026826,C0007634,CAUSE
C0241938,C0007634,CAUSE
C0007634,C0700321,FUNCTION
C0025255,C0700321,MEDIATE
C0424589,C1420193,RESULT_IN
C0424589,C0007634,RESULT_IN
C0007634,C0424589,CAUSE
C0022116,C0424589,CAUSE
C0441712,C0175996,REGULATE
C0441712,C0029219,REGULATE
C0391845,C0020283,FUNCTION_BEST_AT
C0014139,C0567416,BE_A
C0230653,C0567416,FUNCTION
C0230653,C0007603,BE
C0567416,C1145667,OCCUR_AFTER
C0871786,C0008905,DRIVE_BY
C0008905,C0033684,BE_A
C0015283,C0567416,BE_A
C0033684,C0230779,SYNTHESIZE_IN
C0033684,C0018042,PACKAGE_IN
C1548151,C0033684,REQUIRE
C1548151,C0033684,REQUIRE
C0007294,C0597488,BE_REQUIRED_WHEN
C0230653,C0015349,ENDOCYTOSE
C0014139,C0033684,DRIVE_BY
C0031945,C0333262,INVOLVE
C0031308,C0024432,PERFORM_BY
C0031308,C0027950,PERFORM_BY
C0031310,C0024369,FUSE_WITH
C0597601,C0007634,BE_A
C0015283,C0007603,BE_A
C0033684,C0886515,CONCENTRATE_IN
C0886515,C0007603,FUSE_WITH
C0886515,C0423896,EXPEL
C0597601,C1185625,BE_A
C0597601,C0221908,BE_A_MECHANISM_FOR
C0442805,C0442805,PLAY_A_ROLE_IN
C0230653,C2936531,ASSOCIATE_WITH
C0230653,C0001455,ASSOCIATE_WITH
C0230653,C0282625,ASSOCIATE_WITH
C0230653,C1414662,ASSOCIATE_WITH
C0379710,C0230653,BE_MAJOR_STRUCTURAL_PROTEIN_OF
C0230653,C0598721,BE_A
C0026882,C0026850,ASSOCIATE_WITH
C0026882,C0000768,ASSOCIATE_WITH
C0031945,C1184743,BE_A
C0031945,C0220781,BEGIN_WITH
C0597361,C0220781,BEGIN_WITH
C0887885,C0887883,FUSE_WITH
C0887883,C1166848,MATURE_TO
C1166848,C0024369,FUSE_WITH
C0597361,C0040679,BE_UPTAKE_MECHANISM_FOR
C0597361,C0023823,BE_UPTAKE_MECHANISM_FOR
C0023823,C0008377,RELEASE
C0040679,C0302583,RELEASE
C0243067,C0020445,CAUSE
C0010853,C0033684,BE_A
C0025979,C0016890,BE_FORMED_FROM
C0016890,C1383501,BE_A
C0016890,C0025979,POLYMERIZE_INTO
C0221908,C0242358,INVOLVE
C0221908,C0011703,INVOLVE
C0015350,C0007634,INVOLVE
C0007634,C0230616,LOCATE_IN
C0027096,C0001271,BIND_TO
C0026649,C0020291,DRIVE_BY
C0020291,C0026820,BE_BASIS_OF
C1180307,C0007634,CONTROL
C1180307,C0007634,CONTROL
C0064635,C0521447,CONTRIBUTE_TO
C0021770,C0007634,USE_FOR
C0042666,C1257975,LOCATE_IN
C0042666,C0007634,FUNCTION
C0011696,C0596981,LOCATE_IN
C0011696,C0337143,FORM
C0001271,C0337143,CONTRACT_ON
C0027096,C0337143,CONTRACT_ON
C0027834,C0004461,LOCATE_IN
C0027834,C0237897,PROVIDE
C0027834,C0026837,PROVIDE
C0017626,C0027836,LOCATE_IN
C0027836,C0027882,SUPPORT
C0014597,C0010803,EXPRESS
C0010803,C0041366,SERVE_AS
C0021770,C0039526,IMPART
C0021770,C0007634,ALLOW
C0028584,C0521447,MAINTAIN
C0028584,C1710463,REGULATE
C0026882,C0026850,CAUSE
C0026882,C0033300,CAUSE
C0033300,C0012634,BE_A
C0021770,C0033684,FORM
C0021770,C0033684,FORM
C0026046,C0596448,COMPOSE_OF
C0026046,C0596448,COMPOSE_OF
C3893601,C0242607,EMBED_IN
C0242607,C0007610,LOCATE_NEAR
C0242607,C0007708,ASSOCIATE_WITH
C0026046,C0033684,FUNCTION_AS
C0033684,C0333262,ALLOW
C0033684,C0029219,ALLOW
C0085139,C0005528,BE_MOTORS_FOR
C0013352,C5137243,MOVE
C0026046,C0443254,PROVIDE
C1657581,C0026255,OCCUR_DURING
C0026046,C0205225,FORM
C3156332,C0334094,REGULATE
C3156332,C0007589,REGULATE
C0026046,C3158395,FORM
C0026046,C0016192,FORM
C3158395,C0599333,LOCATE_IN
C0016192,C0037868,LOCATE_IN
C0007634,C1706311,FORM
C1706311,C0443254,PROVIDE
C0034800,C0023688,RECOGNIZE
C0242358,C0242358,BE_A
C0242358,C0007634,FUNCTION
C0242358,C0567416,FUNCTION
C0242358,C0250400,COMPOSE_OF
C0242358,C2718006,COMPOSE_OF
C0242358,C0007634,FUNCTION
C0887872,C0011703,BE_A
C0887872,C0007634,FUNCTION
C0887872,C0007634,FUNCTION
C0011703,C0007634,BE_A
C0230616,C0007634,FUNCTION
C0011703,C1518792,BE_A
C0007634,C0006631,FORM_BY
C0006631,C0007634,LINK_TO
C0011703,C0007634,FUNCTION
C1154395,C0007634,ASSOCIATE_WITH
C1154395,C0007634,INFLUENCE
C1154395,C0007608,INFLUENCE
C0021699,C0021701,BE_A
C0021701,C0007634,ATTACH_TO
C0021701,C0010853,FUNCTION
C0887870,C0230616,LOCATE_AT
C0887870,C0007634,FUNCTION
C0022023,C0206117,BE_A
C0022023,C0037083,FUNCTION
C0206117,C0230609,CONSIST_OF
C0230609,C0021699,FORM_BY
C0230609,C1328819,FUNCTION
C0007634,C0205144,REDUCE
C0007634,C0205144,REDUCE
C0007634,C0206117,OCCUR_THROUGH
C0007634,C0031843,ALLOW
C0014239,C0021699,BE_SITE_OF_SYNTHESIS_OF
C0014239,C0023779,BE_SITE_OF_SYNTHESIS_OF
C0014239,C0567416,BE_SITE_OF_SYNTHESIS_OF
C0021699,C0007603,NEED_FOR
C0021699,C0007634,NEED_FOR
C0023779,C0007603,NEED_FOR
C0023779,C0007634,NEED_FOR
C0220781,C0020445,CAUSE
C0033684,C2613145,LEAD_TO
C2613145,C0007587,TRIGGER
C2613145,C1155342,BE_ALSO_CALLED
C2613145,C0162638,TRIGGER
C1655235,C0014239,BE_DEGRADED_IN
C0028959,C0014239,BE_ADDED_IN
C0025255,C0010674,CAUSE
C0017337,C1709915,RESULT_IN
C1517945,C2718001,LEAD_TO
C1517945,C0033684,LEAD_TO
C1517945,C0033684,LEAD_TO
C1561643,C0005528,LEAD_TO
C1561643,C0036536,LEAD_TO
C1561643,C0239998,LEAD_TO
C0033684,C0230779,BE_SHUTTLED_FROM
C0033684,C0018042,BE_SHUTTLED_TO
C0023779,C0230779,BE_SHUTTLED_FROM
C0023779,C0018042,BE_SHUTTLED_TO
C0028959,C0018042,BE_MODIFIED_IN
C0028959,C0018042,BE_APPENDED_IN
C0018042,C0033684,RECYCLE
C0018042,C0033684,DISPATCH
C0230789,C0301818,SYNTHESIZE
C0230789,C0567416,CATABOLIZE
C0332157,C0205177,LEAD_TO
C0031412,C0010762,BE_CATABOLIZED_BY
C0230789,C0007634,SEQUESTER
C0036226,C0205555,BE_A
C0036226,C0026820,REGULATE
C0036226,C0022023,REGULATE
C0450237,C0024369,DEPEND_ON
C0450237,C0208355,DEPEND_ON
C0024369,C0020289,CONTAIN
C0391845,C0014239,BE_SYNTHESIZED_IN
C0391845,C1709915,BE_TAGGED_WITH
C0065688,C0018042,OCCUR_IN
C0033684,C0024369,BE_DELIVERED_TO
C1166738,C0597357,EXPRESS
C0520510,C0887883,PASS_TO
C0520510,C0887883,PASS_TO
C0887883,C1185625,BE_A
C1166848,C0024369,MATURE_INTO
C0004391,C0029219,SHUTTLE
C0004391,C1704241,SHUTTLE
C5380085,C0014239,DERIVE_FROM
C3887595,C0024369,FUSE_WITH
C0004391,C0007620,PRESERVE
C0031308,C0031307,OCCUR_IN
C0024432,C0031307,BE_A
C0027950,C0031307,BE_A
C0031310,C0024369,FUSE_WITH
C0041538,C0033684,TARGET
C0208355,C0033684,DIGEST
C0208355,C0700321,PRODUCE
C0026237,C0686817,EVOLVE_FROM
C0684063,C0686817,ENGULF
C0026237,C3272453,CONTAIN
C0012929,C0033684,ENCODE
C0026237,C0003232,BE_SENSITIVE_TO
C0026237,C1658120,UNDERGO
C0026237,C0332466,UNDERGO
C0024369,C0034850,FUSE_WITH
C0024369,C0031310,FUSE_WITH
C1420099,C1704259,ACTIVATE
C0007634,C1704259,ACTIVATE
C0567416,C1383501,TAG
C0208355,C0033684,DEGRADE
C0033684,C1155342,TRIGGER
C1155342,C0033684,CAUSE
C0033684,C0033684,FACILITATE
C1155342,C0162638,INDUCE
C0012929,C0205102,BE_INHERITED_FROM
C0729650,C1327307,DERIVE_FROM
C0729650,C1158805,DERIVE_FROM
C0026237,C0001480,GENERATE
C0079411,C0007004,USE_SUBSTRATE
C0079411,C0015684,USE_SUBSTRATE
C0026237,C0025519,INVOLVE_IN
C0026237,C0567416,BE_SOURCE_OF
C0026237,C0567416,BE_SOURCE_OF
C0026237,C0007634,INVOLVE_IN
C0026237,C0030013,PROVIDE_MACHINERY_FOR
C0542479,C0017725,USE_SUBSTRATE
C0026237,C0005572,HAVE_ROLE_IN
C0026237,C0162638,REGULATE
C0162638,C0162638,BE_A
C0596952,C0014442,CONTAIN
C0026237,C0014442,CONTAIN
C1179889,C0220781,BE_SITE_OF
C0596952,C0033684,CONTAIN
C0282636,C0424589,BE_SOURCE_OF
C0022023,C0022023,DRIVE
C0022023,C0022023,TRANSFER
C0022023,C1704640,BE_TRANSFERRED_FROM
C0022023,C1179889,BE_TRANSFERRED_TO
C0107264,C0596902,BE_A
C0107264,C0009170,BE_ALSO_CALLED
C0107264,C0812409,DISSIPATE
C0812409,C0014948,PRODUCE
C0026237,C0162772,BE_SOURCE_OF
C0242184,C0007634,CAUSE
C3896997,C0007634,CAUSE
C0026237,C0007634,CAUSE
C0030013,C0001480,PRODUCE
C1520120,C0598754,BE_ALSO_CALLED
C1520120,C0064582,PRODUCE
C0017725,C1523389,PRIM
C0017797,C1523389,PRIM
C0205103,C0023779,BE_USED_TO_MAKE
C0205103,C0028606,BE_USED_TO_MAKE
C0205103,C0033684,BE_USED_TO_MAKE
C0026237,C0007587,PARTICIPATE_IN
C0026237,C0027540,HAVE_ROLE_IN
C0026237,C0162638,HAVE_ROLE_IN
C0026237,C0007620,REGULATE
C1154413,C0851285,LEAD_TO
C1154413,C1280500,LEAD_TO
C0332197,C0162638,CAUSE
C0007634,C0599732,RESPOND_TO
C0007634,C0014239,RESPOND_TO
C0445623,C0014239,BE_A
C2752543,C0007578,MEDIATE_BY
C2752543,C0206117,MEDIATE_BY
C0206117,C0015295,MEDIATE_BY
C0015295,C0700321,PERMIT_MOVEMENT_OF
C0015295,C0870883,PERMIT_MOVEMENT_OF
C0015295,C3658238,PERMIT_MOVEMENT_OF
C0001455,C0567416,BE_A
C0007634,C0021701,MEDIATE_BY
C0079189,C0021368,BE_MEDIATORS_OF
C0079189,C0020964,BE_MEDIATORS_OF
C0019932,C0014133,SECRETE_BY
C0019932,C0007634,ACT_ON
C0525011,C0007634,AFFECT
C0525010,C0567416,AFFECT
C0027882,C0027908,SECRETE
C0027908,C0221284,ACT_ON
C0039062,C0021721,BE_A
C0019932,C0005775,RELEASE_INTO
C0019932,C0221284,ACT_ON
C0007634,C0033684,TRANSMIT_VIA
C1519315,C0597357,BIND
C0023688,C0597357,BIND
C0597357,C0699040,LOCATE_ON
C0597357,C0007634,LOCATE_WITHIN
C1870051,C0040648,INCLUDE
C0040648,C0023688,ACTIVATE_BY
C0023688,C0007603,TRANSIT
C0014695,C0887829,ACTIVATE
C0301818,C0887829,ACTIVATE
C0225336,C2960476,REGULATE
C0028128,C0851285,MEDIATE
C0028128,C0225336,GENERATE_BY
C0028128,C0026844,DIFFUSE_INTO
C0028128,C0018358,ACTIVATE
C0018358,C0018338,GENERATE
C0018338,C0007634,BE_A
C0018338,C0205357,CAUSE
C0034800,C0021699,BE
C1517050,C0023688,BIND
C1517880,C0022009,CAN_OPEN
C1517880,C0751981,CAN_ACTIVATE
C1517880,C0014442,CAN_ACTIVATE
C1517880,C0030940,CAN_TRIGGER
C1517880,C0040648,CAN_ACTIVATE
C3820630,C0596290,DRIVE
C1704259,C1821244,REGULATE
C1520113,C1821244,REGULATE
C4688374,C1821244,REGULATE
C0699040,C0008073,DERANGE_IN
C0699040,C0006826,DERANGE_IN
C1145667,C0597357,INDUCE
C0206588,C0023688,BIND
C1235660,C0023688,RECOGNIZE
C1235660,C0007634,BE_CLEAVED_TO_YIELD
C0007634,C0007610,CAN_ENTER
C0007634,C0040649,INFLUENCE
C1704259,C0007634,RELEASE
C0033684,C0243125,DRIVE
C0006675,C0040648,ACT_AS
C1416917,C1710082,ACT_AS
C1149299,C0022023,CAUSE
C1149299,C0031715,CAUSE
C1449886,C0205254,COUPLE
C1879547,C1425569,ACTIVATE
C1425569,C0752312,PHOSPHORYLATES
C0211705,C1333198,PHOSPHORYLATES
C0211705,C0040648,PHOSPHORYLATES
C1879547,C0031623,INTERACT_WITH
C0031623,C0037083,ACTIVATE
C1879547,C0018353,HYDROLYZE
C0026882,C0020291,LEAD_TO
C0020291,C1710082,CAN_LEAD_TO
C0024906,C0175996,CAUSE
C0175996,C0220806,TRIGGER
C0220806,C0037083,LEAD_TO
C1514762,C0220781,LEAD_TO
C1514762,C0014442,LEAD_TO
C1514762,C0205177,LEAD_TO
C0040648,C0007610,ENTER
C0040648,C0017262,ALTER
C0392747,C0172203,CAN_STIMULATE
C0392747,C0007634,CAN_PROMOTE
C0033681,C1709915,PHOSPHORYLATE
C1414387,C1709915,ADD_PHOSPHATES_TO
C4284029,C3891814,PHOSPHORYLATE
C0031678,C0031603,CAN_REMOVE
C0031678,C0037083,PLAY_AN_INHIBITORY_ROLE_IN
C0206364,C0021699,BE
C0205263,C0033681,ACTIVATE
C1336653,C0597357,INTERACT_WITH
C1336653,C0205369,PHOSPHORYLATES
C0080298,C1336653,BE_THE_PROTOTYPE_FOR
C0282534,C0031715,BIND_TO
C0282535,C0033684,MEDIATE
C0682972,C0007603,TRAVERSE
C0597357,C0175996,ASSOCIATE_WITH
C0439855,C3894201,RESULT_IN
C3894201,C0678640,OCCUR_THROUGH
C1332447,C0017337,INVOLVE
C1332447,C0021549,INVOLVE
C0021549,C0006675,RELEASE
C0023688,C0175996,INTERACT_WITH
C3824492,C1179920,BIND_TO
C0521447,C0040649,CAN_RESULT_IN
C0521447,C0040649,CAN_RESULT_IN
C1704259,C0033684,RELY_ON
C0033684,C0037083,TRANSDUCE
C1145667,C0010813,LEAD_TO
C0010813,C0521447,LEAD_TO
C0521447,C2919060,FORM
C1511625,C0175996,BE_ALSO_KNOWN_AS
C0033684,C0597357,ACT_THROUGH
C0597357,C2612269,REGULATE
C0332197,C0243125,CAUSE
C1145667,C0439855,DISRUPT
C0439855,C0006675,STABILIZE
C0006675,C0007610,TRANSLOCATE_TO
C0006675,C2919060,FORM
C1514758,C0004793,TRIGGER
C0004793,C0017262,LEAD_TO
C0033684,C0567416,ALLOW
