cui,umls_concept
C0007595,Cell Growth
C0024501,Maintenance
C0543484,catabolic aspects
C0598629,Hydrophobicity
C0023779,Lipids
C0031621,phosphatidylinositols
C0031669,Phospholipase C
C0071655,Phosphatidylinositol Phosphates
C0031623,Phosphatidylserines
C0162638,Apoptosis
C0017950,Glycolipids
C0037906,Sphingomyelins
C0449432,Component object
C0025252,Membrane Proteins
C0021699,Integral Membrane Proteins
C1959616,Phosphatidylcholines
C0031618,phosphatidylethanolamines
C0008377,cholesterol
C1446409,Positive
C0441833,Groups
C0015684,Fatty Acids
C0025255,Tissue membrane
C1333498,Extracellular Protein
C0597357,receptor
C0061622,Glycocalyx
C0030054,oxygen
C0007012,carbon dioxide
C0043047,water
C0023768,Lipid Bilayers
C0567416,Molecule
C0019139,"Heparin, Low-Molecular-Weight"
C0599635,water channel
C0475370,Hydrophilicity
C0007292,Carrier Proteins
C0086045,Mental concentration
C0013790,Electricity
C0005529,"Biological Transport, Active"
C0026826,Muscle Hypertonia
C0241938,Hypotonicity
C0424589,Vitality
C0022116,Ischemia
C0441712,Mechanism (attribute)
C0014139,Endocytosis
C0230653,Caveolae
C0871786,internalization
C0008905,Clathrin
C0015283,Exocytosis
C1548151,Species - Nature of Abnormal Testing
C0007294,Genetic Carriers
C0031945,Pinocytosis
C0031308,Phagocytosis
C0031310,Phagosomes
C0597601,Transcytosis
C0886515,Secretory Vesicles
C0442805,Increase
C0379710,caveolin 1
C0597361,Receptor Mediated Endocytosis
C0887885,Clathrin-Coated Vesicles
C0887883,Early endosome
C1166848,late endosome
C0023823,Low-Density Lipoproteins
C0040679,Transferrin
C0243067,defects aspect
C0025979,Microfilaments
C0016890,G-Actin
C0221908,Epithelial
C0015350,Extracellular Matrix
C0027096,Myosin ATPase
C0026649,Movement
C0020291,Hydrolysis
C1180307,F-Actin
C0064635,Lamins
C0021770,Intermediate Filaments
C0042666,Vimentin
C0011696,Desmin
C0001271,Actins
C0027834,Neurofilaments
C0017626,Glial Fibrillary Acidic Protein
C0027836,Neuroglia
C0014597,Epithelial Cells
C0010803,Cytokeratin
C0028584,Nuclear Envelope
C0033300,Progeria
C0026046,Microtubules
C3893601,A axonemal microtubule
C0242607,Microtubule-Organizing Center
C0085139,Kinesin
C0013352,Dynein ATPase
C1657581,mitotic sister chromatid separation
C3156332,Primary Cilia
C3158395,Motile Cilia
C0016192,Flagella
C1706311,Junction Device
C0034800,"Receptors, Cell Surface"
C0242358,Tight Junctions
C0887872,Adherens Junction
C0011703,Desmosome
C0230616,Hemidesmosomes
C0006631,Cadherins
C1154395,homophilic cell adhesion via plasma membrane adhesion molecules
C0021701,Integrins
C0887870,Focal Adhesions
C0022023,Ions
C0206117,Gap Junctions
C0230609,Connexon
C0220781,Anabolism
C2613145,response to endoplasmic reticulum stress
C1655235,misfolded protein binding
C0028959,Oligosaccharides
C1545588,Protection
C1624575,acquisition of nutrients from host
C0034962,Refuse Disposal
C0008972,Clinical Research
C2612269,cellular component biogenesis
C1515926,Alteration
C4277569,Protein Structural Elements
C1519315,Signaling Molecule
C0597298,Protein Isoforms
C0205177,Active
C0205254,Sedentary
C0598175,Chromosome Segregation
C0028630,Nucleotides
C0008545,Chromatids
C0043250,Injury wounds
C0230467,Arch of foot
C0017263,Gene Expression Regulation
C1156187,chromatin organization
C0008633,Chromosomes
C1314792,Etiology
C0205419,Variant
C5236477,Single Nucleotide Variant
C0021920,Introns
C0887859,Intergenic Region
C0079941,Open Reading Frames
C0034987,"Regulatory Sequences, Nucleic Acid"
C0012655,Disease susceptibility
C0314627,Gene function
C0031437,Phenotype
C0216162,"ATP7A protein, human"
C0314603,Genetic
C0270814,Spastic syndrome
C0027361,Persons
C0040712,Language Translations
C1819424,DNA duplex unwinding
C0233656,Mental condensation
C0598496,Gene Silencing
C0025723,Methylation
C0162493,Transcriptional Activation
C1517891,Linker DNA
C1326116,sperm DNA condensation
C1621524,heterochromatin assembly
C1336789,Transcription Repressor/Corepressor
C1257775,Histone Code
C0205183,Benign
C0227099,Mandibular right second primary molar
C0006826,Malignant Neoplasms
C0887909,"RNA, Untranslated"
C1337054,Primary MicroRNA
C1158726,mRNA cleavage
C1521840,Target
C0007621,Neoplastic Cell Transformation
C0035681,DNA-Directed RNA Polymerase
C0043292,X Chromosome
C0010834,Cytoplasm
C0040648,TRANSCRIPTION FACTOR
C0392747,Changing
C0003850,Arteriosclerosis
C0004651,Bacteriophages
C1511667,"DNA Breaks, Double-Stranded"
C0332453,Disruption
C0162326,DNA Sequence
C1721104,DNA Breaks
C1179933,Free ribosome
C0596715,hormone biosynthetic process
C1157478,lipoprotein biosynthetic process
C0029219,Organelles
C0030685,Patient Discharge
C0019629,Histocompatibility Antigens Class I
C1749719,Adaptive Immune Response
C1513372,Modeling of Cellular Pathways
C0178735,macromolecule
C0007367,catalase
C0027021,peroxidase
C0025519,Metabolism
C0597295,Protein Biosynthesis
C0542479,"Energy, Physics"
C0599814,Intracellular Transport
C1523935,cellular catabolic process
C1158373,long-chain fatty acid metabolic process
C0020281,hydrogen peroxide
C0520510,Materials
C0439879,Metalloids
C0018966,Heme
C5670644,Chemical Building Block
C1706912,BARRIER
C0031676,phospholipids
C0007613,Cell physiology
C0043791,Diacylglycerol
C2246331,inositol trisphosphate biosynthetic process
C0205102,Internal
C2825491,Negative Charge
C1710082,Signal
C1521761,Factor
C0521119,Extracellular
C1167250,lipid raft
C0037420,Social Interaction
C1155494,intracellular signal transduction
C0017968,Glycoproteins
C0870883,Metabolite
C1708664,Leaflet Device
C0037083,Signal Transduction
C0061688,Glycosylphosphatidylinositols
C0392148,Providing presence (regime/therapy)
C0007004,Carbohydrates
C3821327,cell-cell adhesion
C0205369,Specific qualifier value
C0005528,Biological Transport
C1948027,Couple (action)
C4505125,Copper-Transporting ATPases
C0010124,Corticosterone
C0700321,Small
C1420193,SLC4A1 gene
C0175996,Protoplasm
C0020283,Hydrogen-Ion Concentration
C1145667,Binding action
C0597488,solute
C0015349,Extracellular Fluid
C0024432,macrophage
C0027950,neutrophil
C0423896,Feeling content
C2936531,GPI-Linked Proteins
C0001455,cyclic AMP
C0282625,src-Family Kinases
C1414662,FOLR1 gene
C0598721,potocytosis
C0026850,Muscular Dystrophy
C0000768,Congenital Abnormality
C1184743,bony process
C0302583,iron
C0020445,"Hypercholesterolemia, Familial"
C0026820,Muscle Contraction
C1257975,Mesenchymal Stem Cells
C0596981,Muscle Cells
C0337143,Scaffold
C0004461,Axon
C0237897,Physical Strength
C0026837,Muscle Rigidity
C0027882,Neurons
C0041366,"Biomarkers, Tumor"
C0039526,tensile strength
C1710463,Transcription Regulation Gene
C0596448,dimer
C0007708,Centrioles
C5137243,cargo receptor ligand activity
C0443254,Mechanical Methods
C0026255,Mitosis
C0205225,Primary
C0334094,Proliferation (morphologic abnormality)
C0007589,Cell Differentiation process
C0599333,Epithelium of bronchus
C0037868,sperm cell
C0023688,Ligands
C0250400,occludin
C2718006,Claudins
C1518792,Pleckstrin Homology Domains
C0007608,cell motility
C1328819,Small Molecule
C0205144,Junctional
C0007587,Cell Death
C1155342,cellular response to unfolded protein
C1517945,Loss
C1561643,Chronic Kidney Diseases
C0332157,Exposure to
C0031412,phenobarbital
C0036226,Sarcoplasmic Reticulum
C0450237,Wastewater
C0065688,mannose-6-phosphate
C1166738,trans-Golgi network transport vesicle
C0004391,Autophagy
C5380085,double membrane vesicle viral factory membrane
C3887595,Autophagosome
C0041538,Ubiquitin
C0684063,Eukaryota
C0012929,"DNA, Mitochondrial"
C0729650,Constituents
C0079411,Generations
C0596952,Mitochondrial Membranes
C1179889,Intermembranous space of mitochondrion
C0282636,Cell Respiration
C0107264,brown adipose tissue uncoupling protein
C0812409,Gradient
C0242184,Hypoxia
C3896997,Marrow Toxic Injury
C1520120,Warburg Effect
C0017725,glucose
C0017797,glutamine
C0205103,Intermediate
C1154413,Intercellular Communication Process
C0332197,Absent
C0445623,Microorganism
C2752543,cell-cell contact zone
C0079189,cytokine
C0019932,Hormones
C0525011,Paracrine Communication
C0525010,Autocrine Communication
C0027908,Neurotransmitters
C0039062,Synapses
C1870051,"sigma-2 receptor, human"
C0014695,ergocalciferol
C0301818,Steroid hormone
C0225336,Endothelial Cells
C0028128,nitric oxide
C0018358,Guanylate Cyclase
C0018338,Cyclic GMP
C1517050,Extracellular Domain
C1517880,Ligand Binding
C3820630,nerve growth factor signaling pathway
C1704259,Biochemical Pathway
C1520113,Wnt Signaling Pathway
C4688374,Hedgehog Pathway Mutation
C0699040,Cell surface
C0206588,"Receptors, Nuclear"
C1235660,Notch
C0006675,calcium
C1416917,LRP5 gene
C1149299,Growth Factor Binding
C1449886,"Adaptor Proteins, Signal Transducing"
C1879547,Activation action
C1425569,ZHX2 gene
C0211705,MAP Kinase Kinase Kinase
C0024906,Masturbation
C0220806,Chemicals
C1514762,Receptor Signaling
C0033681,Protein Tyrosine Kinase
C1414387,MARK2 gene
C4284029,"Ceramide Kinase, Human"
C0031678,Phosphoric Monoester Hydrolases
C0206364,Receptor Protein-Tyrosine Kinases
C0205263,Induce (action)
C1336653,TNK1 gene
C0080298,SRC gene
C0282534,SH2 Domain
C0282535,SH3 Domain
C0682972,G-Protein-Coupled Receptors
C3894201,positive regulation of protein maturation
C1332447,STAP1 gene
C0021549,"Inositol 1,4,5-Trisphosphate"
C3824492,receptor-ligand complex
C1511625,Cytoplasmic Domain
C1514758,Receptor Activation Process
C0004793,Base Sequence
C0079119,Chlorophyll Binding Proteins
C0031715,Phosphorylation
C0086661,MYC gene
C0162508,JUN gene
C0079419,TP53 gene
C1149367,transcription factor binding
C0220905,regulatory
C0018284,Growth Factor
C1149472,growth factor activity
C0597358,Receptor Binding
C0062534,Hepatocyte Growth Factor
C0064294,fibroblast growth factor 7
C4727023,Activating FGFR Gene Mutation
C1280500,Effect
C0242275,epidermal growth factor
C0040691,Transforming Growth Factors
C0040690,Transforming Growth Factor beta
C0812298,FLT1 gene
C1517480,Gene Amplification Technique
C0069515,erbB-2 Receptor
C0003241,Antibodies
C0021760,interleukin-6
C0016030,Fibroblasts
C0014257,Endothelium
C0036734,Serine Endopeptidases
C0025646,methionine
C5446063,Mesenchymal Epithelial Transition Inhibitors [MoA]
C0916084,platelet-derived growth factor C
C1447990,"PDGFD protein, human"
C0032200,Platelet-Derived Growth Factor
C0032173,Platelet Activation
C0001280,Armed macrophage
C1135918,"Myocytes, Smooth Muscle"
C1335207,PGF gene
C0078058,Vascular Endothelial Growth Factor A
C0388176,Vascular Endothelial Growth Factor B
C0388911,Vascular Endothelial Growth Factor C
C0004015,aspartic acid
C1256770,Vascular Endothelial Growth Factors
C0378796,Vascular Endothelial Growth Factor Receptor-2
C5399960,Anti-VEGF Humanized Monoclonal Antibody
C0242383,Age related macular degeneration
C0079349,fibroblast growth factor-1
C0380603,Fibroblast Growth Factor 2
C1565802,"FGF7 protein, human"
C0221135,Blood group antigen S
C0019143,heparan sulfate
C0053932,Bone Morphogenetic Proteins
C0050668,Activins
C0021463,INHIBIN
C0687670,Mullerian duct inhibiting substance
C0005821,Blood Platelets
C0597304,Proteolysis
C0076930,Transforming Growth Factor beta Receptors
C2746015,protein serine/threonine kinase activity
C0085175,Vinculin
C0085182,Talin
C1257900,Colicin Plasmids
C3263722,Traumatic AND/OR non-traumatic injury
C0021368,Inflammation
C0678594,Structure
C0205266,Intact
C0927195,Stroma
C0019158,Hepatitis
C0004799,Basement membrane
C1947951,Anatomical Apparatus
C1167404,interstitial matrix
C0582263,Structural protein
C0009325,collagen
C0013765,elastin
C0033692,Proteoglycan
C0020196,hyaluronic acid
C0034693,Rattus norvegicus
C1302674,Immunoglobulin Subunits
C0332307,Type - attribute
C0225328,Fibril - cell component
C0969669,Fibrillar Collagen
C0009780,Connective Tissue
C0225325,Collagen fiber
C0075691,syndecan
C1709915,Residue
C0024375,Protein-Lysine 6-Oxidase
C0003969,Ascorbic Acid Deficiency
C0010674,Cystic Fibrosis
C2718001,Protein Misfolding Disorders
C0036536,Process of secretion
C0239998,Recurrent infections
C0010762,Cytochrome P450
C0205555,Special
C0020289,Hydrolase
C1704241,complex (molecular entity)
C0007620,Cell Survival
C0031307,Phagocytes
C0686817,Prokaryote
C0003232,Antibiotics
C1658120,plastid fission
C0332466,Fused structure
C1327307,nucleolar large rRNA transcription by RNA polymerase I
C1158805,mitochondrial transcription
C0005572,bioformation
C1704640,Matrix Array
C0596902,Membrane Transport Proteins
C0014948,Estrus
C0162772,Reactive Oxygen Species
C0598754,aerobic glycolysis
C0064582,lactic acid
C1523389,mitochondrial tricarboxylic acid cycle enzyme complex
C0028606,Nucleic Acids
C0027540,Necrosis
C0599732,cell injury
C0007578,Cell Adhesion Molecules
C3658238,Gasotransmitters
C0020964,Immune response
C0014133,Endocrine Glands
C0221284,Leptocyte
C0021721,Intercellular Junctions
C0005775,Blood Circulation
C0887829,Nuclear Hormone Receptors
C2960476,Intravascular Route of Drug Administration
C0026844,"Muscle, Smooth, Vascular"
C0205357,Smooth
C0022009,Ion Channel
C0751981,GTP-Binding Protein Regulators
C0030940,Peptide Hydrolases
C0596290,Cell Proliferation
C1821244,Normal development
C0008073,Developmental Disabilities
C0243125,degradation aspects
C0752312,Mitogen-Activated Protein Kinases
C1333198,Cytoplasmic Protein
C0018353,Guanosine Triphosphate
C0172203,Receptors for Activated C Kinase
C3891814,Substrate
C0031603,Phosphates
C0678640,degree of relationship - exchange
C1179920,Nuclear deoxyribonucleic acid
C2919060,Mediator Complex
C0746922,Anatomic Node
C0227088,Deciduous maxillary right first molar tooth
C0034963,Natural regeneration
C0043240,Wound Healing
C1328948,RNA biosynthesis
C0007590,Cell division
C0007586,Cell Cycle
C0600210,population migration
C0179586,Caps
C1623047,tissue regeneration
C0681698,historical period
C1819952,keratinocyte proliferation
C0021868,Intracellular Membranes
C0033713,Proto-Oncogenes
C3849998,EGF Family of Proteins
C0034802,Epidermal Growth Factor Receptor
C0227525,Hepatocyte
C0243036,"Genes, erbB"
C0242379,Malignant neoplasm of lung
C0006142,Malignant neoplasm of breast
C1622501,"Migration, Cell"
C0038952,Continuance of life
C0252186,pro-hepatocyte growth factor
C1306837,Papillary Renal Cell Carcinoma
C0238463,Papillary thyroid carcinoma
C0920425,Cancer Therapeutic Procedure
C1513411,Monobasic Proteolytic Cleavage Site
C1515922,Alpha Granule
C0071253,Platelet-Derived Growth Factor Receptor
C1326347,fibroblast proliferation
C1655807,endothelial cell proliferation
C0440752,Inflammatory cell
C0138514,Placental Growth Factor
C0302600,Angiogenic Process
C0013936,Embryonic Development
C1257789,Lymphangiogenesis
C0595862,Vasodilation disorder
C0162337,Vascular Permeability
C0215848,Hypoxia-Inducible Factor 1
C0378516,Vascular Endothelial Growth Factor Receptor-1
C0740457,Malignant neoplasm of kidney
C0007102,Malignant tumor of colon
C0035309,Retinal Diseases
C0730285,Macular edema due to diabetes mellitus
C4024790,Adult-onset night blindness
C0032914,Pre-Eclampsia
C0016026,Fibroblast Growth Factor
C0018951,Hematopoiesis
C0677517,fluoride ion
C0205460,biological
C0385939,"SMAD4 protein, human"
C0596873,lymphocyte proliferation
C0026606,Physical activity
C0040300,Body tissue
C0243107,development aspects
C2825961,Anchorage
C1179132,Scaffold protein
C1300196,Organized
C4688352,Septal Defect Repair
C0023890,Liver Cirrhosis
C0014609,Epithelium
C0022646,Kidney
C0026559,Morphogenesis
C0334133,Chronic fibrosis
C1269955,Tumor Cell Invasion
C1267092,Smooth muscle (tissue)
C0969670,Non-Fibrillar Collagens
C0016055,Fibronectins
C0178695,hyaluronate
C0022984,Laminin
C2983697,Arm Recoil Test
C0237834,Resistance (Psychotherapeutic)
C0024069,Lubrication
C0013879,Elements
C0994334,triple helix (molecular structure)
C0020276,Hydrogen Bonding
C0005931,Bone and Bones
C0039508,Tendon structure
C0007301,Cartilage
C0005847,Blood Vessel
C0444099,Skin Specimen
C1017315,Helice
C0037473,sodium
C0331858,Matrix Pharmaceutical Inc.
C0003968,ascorbic acid
C0241052,skeletal deformity
C0009333,Collagen Type IV
C0009334,Collagen Type IX
C0009337,Collagen Type VII
C0230899,Elastic Fibers
C0024796,Marfan Syndrome
C0060321,fibrillin
C0205250,High
C0022563,Keratan Sulfate
C0008466,chondroitin sulfates
C0017973,Glycosaminoglycans
C0042706,Viral Core Proteins
C0300500,adhesion receptor
C0031727,Phosphotransferases
C0680022,member
C0282651,Selectins
C1621636,TOR signaling
C0020507,Hyperplasia
C3820815,cell quiescence
C0598312,DNA Replication
C0015499,Hereditary Factor V Deficiency
C0225828,"Myocytes, Cardiac"
C1516334,Cell Cycle Progression
C0079183,Cyclins
C0733511,Medical Surveillance
C1517340,G1/S Transition Checkpoint
C0205616,Moderately differentiated (qualifier value)
C1155874,Cell Cycle Checkpoints
C0231337,Senility
C0243045,Cyclin-Dependent Kinases
C0206454,Growth Factor Receptors
C0872372,Totipotent Stem Cells
C0246957,Cyclin-Dependent Kinase 4
C0079471,HRAS gene
C0598086,p27 Cell Cycle Protein
C1366618,CDKN1C gene
C1171322,Adult Stem Cells
C0038250,Stem cells
C1155711,Stem Cell Self-Renewal
C1155692,Asymmetric Cell Division
C0011011,Daughter
C3893683,symmetric cell division
C0032659,geographic population
C0596508,Embryonic Stem Cells
C0007584,Cell Count
C0036576,Genetic Selection
C0376515,BCL2 gene
C0014406,Environment
C0005953,Bone Marrow
C0018956,Hematopoietic stem cells
C0598800,Pericytes
C1948047,Soluble (qualifier)
C0017189,Gastrointestinal tract structure
C0009392,Colony-Stimulating Factors
C0013216,Pharmacotherapy
C0205307,Normal
C0002895,"Anemia, Sickle Cell"
C0043544,Structure of zygote
C0872076,Pluripotent Stem Cells
C0001527,Adipose tissue
C0162597,Stromal Cells
C0205615,Well Differentiated
C0087111,Therapeutic procedure
C0010957,Tissue damage
C0027061,Myocardium
C1299586,Has difficulty doing (qualifier value)
C2717959,Induced Pluripotent Stem Cells
C0030281,Structure of beta Cell of islet
C0441472,Clinical action
C5574752,Cell Biology
C1158770,Transcriptional Regulation
C1705051,Human Genome Organization
C2936263,Epigenomics
C1655731,study of epigenetics
C0205100,Peripheral
C0007582,Cell Communication
C2244223,cellular homeostasis
C0003737,Architecture
C3826603,Cell metabolism
C1326316,mitochondrial DNA replication
C0037080,Signal Pathways
C0015127,Etiology aspects
C0314657,Genetic Predisposition to Disease
C0699748,Pathogenesis
C0334866,Medical pathologist
C4054467,Morphologic Complete Response
C0449430,Physiological Stress
C0032101,"Plants, Toxic"
C0000934,Acclimatization
C2698977,Capability
C0020488,Hypernatremia
C0205082,Severe (severity modifier)
C0021027,Immunoglobulins
C1552857,chapter
C2609414,Acute kidney injury
C0234402,Stimulus
C0037176,Single-Gene Defects
C0264995,Occlusion of artery (disorder)
C0005767,Blood
C1516240,Capacity
C3245505,Potential
C0013227,Pharmaceutical Preparations
C0439861,Substance
C0020962,Immune system
C0020947,Immune Adherence Reaction
C0443146,Autoimmune reaction
C0020517,Hypersensitivity
C0019080,Hemorrhage
C0029434,Osteogenesis Imperfecta
C0013720,Ehlers-Danlos Syndrome
C1301886,Diameter (qualifier value)
C0150775,Social Networks
C4021790,Abnormality of the skeletal system
C1762617,Weak
C0470187,Availability of
C0441722,Force
C0007447,Cations
C0001511,Tissue Adhesions
disulfide-linked dimer,disulfide-linked dimer
C0596790,interstitial
C0124761,Ku autoantigen
C0026473,Monocytes
C0015982,Fibrin
C0019134,heparin
C0333562,Deposition
C1317977,Epithelial metaplasia
C0599220,Protein Subunits
C0032176,Platelet aggregation
C0152060,Transection (procedure)
C0079395,G1 Phase
C0080129,S Phase
C0007591,Cell division phases
C0079394,"Resting Phase, Cell Cycle"
C0018790,Cardiac Arrest
C1514485,Proliferation
C0040627,Trans-Activators
C0012860,DNA Damage
C0919418,Cyclin-Dependent Kinase Inhibitor Proteins
C0439064,Numerous
C0287850,"S100A4 protein, human"
C0232902,migrated
C0871161,Property (attribute)
C0019868,Homeostasis
C1516345,Cell Differentiation or Development Pathway
C0205618,Undifferentiated
C0038435,Stress
C0553580,Ewings sarcoma
C1519561,Totipotent
C0231448,Extension
C0392756,Reduced
C0022131,Islets of Langerhans
C0449913,System
C0178784,Organ
C0017446,Geographic Locations
C1281722,Limbus of cochlear duct (body structure)
C0227427,Structure of anal sinus
C0023884,Liver
C0006104,Brain
C1709634,Precursor
C0031227,Personnel Turnover
C0556984,Three times daily
C0229664,peripheral blood
C0333668,Depletion
C0023418,leukemia
C0005773,Blood Cells
C0003507,Aortic Valve Stenosis
C0013935,Embryo
C0021135,In Vitro [Publication Type]
C0018494,Hair
C3854181,Nevus sebaceous
C0014520,Epidermis
C0178499,Base
C0227276,Paneth Cells
C0005388,Bile fluid
C1136335,Multipotent Stem Cells
C1257974,Regenerative Medicine
C0035139,Surgical Replantation
C0027051,Myocardial Infarction
C0038454,Cerebrovascular accident
C1272745,Improving (qualifier value)
C0030705,Patients
C0205396,Identified
C1257909,Diploid Cell
C3146294,Generation (action)
C0282637,Cell Lineage
C0027765,nervous system disorder
C1156185,nucleus organization
C1516511,Chromatin Structure
C0020951,Immune Complex Diseases
C0162534,Prion Diseases
C0205463,Physiological
C0029237,Physiologic Organization
C0029246,Organization administrative structures
C1523867,intracellular organelle
C0376706,Mechanics
C4505258,Proteostasis
C0686907,Consequence of
C0026528,Moral Obligations
C0870705,control act - information
C0814812,overview
C3548493,mitochondrial outer membrane permeabilization
C3271765,collagen-activated signaling pathway
C0678558,Plasticity
C4042875,Cell Plasticity
C0220912,Aspects of signs
C0020538,Hypertensive disease
C0011847,Diabetes
C0005941,"Bone Diseases, Developmental"
C0039798,therapeutic aspects
C0205343,Reversible
C0851162,Infections of musculoskeletal system
C0040549,Toxin
C0733755,Positioning Attribute
C0007581,Cellular Senescence
C4277654,"Microtrauma, Physical"
C0243163,supply aspects
C0678695,Nutrients
C0002871,Anemia
C0007018,carbon monoxide
C0001869,Air Pollutants
C0021576,Insecticides
C0003947,Asbestos
C0239059,Cigarette smoke (substance)
C0001962,ethanol
C4552279,Tissue injury
C0600688,Toxic effect
C0036140,Salts
C0042776,Virus
C0004611,Bacteria
C0016832,Fungi
C0033739,Protozoa
C0450254,Pathogenic organism
C0008625,Chromosome Aberrations
C0525038,Amino Acid Substitution
C5554615,MET Gene Alteration Positive
C0815043,"Protein, Organized by Function"
C0042842,Vitamin A Deficiency
C0043251,Wounds and Injuries
C0034519,Electromagnetic Radiation
C0013781,Shock from electric current
C0001811,Aging
C0152254,Fatty degeneration
C0991568,Drops - Drug Form
C0014457,Eosinophilia
C0456205,Contents
C0035553,Ribosomes
C0032592,Polyribosomes
C0020564,Hypertrophy
C0004745,Barbiturates
C0027310,NADPH-Ferrihemoprotein Reductase
C0441713,Chemical injury
C0013220,Drug Tolerance
C0007022,Carbon Tetrachloride
C0332664,injured
C3546453,accidental cell death
C3546446,Regulated Cell Death
C0853813,Local Reaction
C0023516,Leukocytes
C1096176,Mitochondrial Damage
C1159823,apoptotic nuclear changes
C0333904,Karyopyknosis
C0702266,Basophilia
C1522058,Coagulative necrosis
C3887644,Inflammatory infiltrate
C0549177,Large
C0439751,Entire
C0449774,Patterns
C0333513,Fibrinoid necrosis
C4055264,Cellular Debris
C0751982,Neutrophil Infiltration
C0021308,Infarction
C0333509,Liquefactive necrosis
C0311419,viscous
C0333361,Acute inflammation
C0004623,Bacterial Infections
C0034161,Pus
C0015385,Limb structure
C0333512,Caseous necrosis
C0205234,Focal
C0596083,amorphous solid
C0041327,"Tuberculosis, Pulmonary"
C0018188,Granuloma
C0015668,Fat necrosis
C0001339,"Pancreatitis, Acute"
C0920330,Pancreatic enzyme
C0023764,lipase
C0205195,Combined
C0003842,Arteries
C0032120,Plasma Proteins
C0031036,Polyarteritis Nodosa
C1519517,Tissue-Specific Splicing
C1711208,Bile Duct Epithelium
C3269134,Apoptotic Bodies
C4053778,Focus of Cellular Alteration
C0024264,Lymphocyte
C0226890,Structure of intestinal epithelium
C0040112,thymus extracts
C0304497,Cytotoxic agent (product)
C0314732,Infectious agent
C0243123,biochemical pathways aspect
C0010656,caspase
C2717970,Cysteine Proteases
C1658974,mitochondria-nucleus signaling pathway
C1720947,"Receptors, Death Domain"
C0010749,Cytochromes c
C0015923,Fetal Alcohol Syndrome
C0077503,Tumor Necrosis Factor Receptor
C0016693,Free Radicals
C1332397,BCL2L1 gene
C0812198,BAX gene
C0574198,Bashkir language
C1511012,BH3 Domain
C1159825,Caspase Activation
C4313872,Nuclear fragmentation
C0242821,Human body
C1824510,RTL10 gene
C4543203,Effector (disposition)
C0015376,Extravasation
C4727027,BCL-2 Family Protein
C0183210,sensor (device)
C0178555,chemical cofactor
C1336652,TNF Receptor Family Gene
C1511738,Death Domain (sequence)
C0253023,Tumor Necrosis Factor Ligand Superfamily Member 6
C1515879,Activated Lymphocyte
C1539478,FASLG gene
C0667830,caspase-8
C1521733,Pathologic
C0013080,Down Syndrome
