cui,umls_concept
C0021699,integral membrane proteins
C1959616,phosphatidylcholines
C0031618,phosphatidylethanolamines
C0008377,cholesterol
C1446409,positive
C0441833,groups
C0015684,fatty acids
C0025255,tissue membrane
C1333498,extracellular protein
C0597357,receptor
C0061622,glycocalyx
C0030054,oxygen
C0007012,carbon dioxide
C0043047,water
C0023768,lipid bilayers
C0567416,molecule
C0019139,heparin lowmolecularweight
C0599635,water channel
C0475370,hydrophilicity
C0007292,carrier proteins
C0086045,mental concentration
C0013790,electricity
C0005529,biological transport active
C0026826,muscle hypertonia
C0241938,hypotonicity
C0424589,vitality
C0022116,ischemia
C0441712,mechanism attribute
C0014139,endocytosis
C0230653,caveolae
C0871786,internalization
C0008905,clathrin
C0015283,exocytosis
C1548151,species nature of abnormal testing
C0007294,genetic carriers
C0031945,pinocytosis
C0031308,phagocytosis
C0031310,phagosomes
C0597601,transcytosis
C0886515,secretory vesicles
C0442805,increase
C0379710,caveolin 1
C0597361,receptor mediated endocytosis
C0887885,clathrincoated vesicles
C0887883,early endosome
C1166848,late endosome
C0023823,lowdensity lipoproteins
C0040679,transferrin
C0243067,defects aspect
C0025979,microfilaments
C0016890,gactin
C0221908,epithelial
C0015350,extracellular matrix
C0027096,myosin atpase
C0026649,movement
C0020291,hydrolysis
C1180307,factin
C0064635,lamins
C0021770,intermediate filaments
C0042666,vimentin
C0011696,desmin
C0001271,actins
C0027834,neurofilaments
C0017626,glial fibrillary acidic protein
C0027836,neuroglia
C0014597,epithelial cells
C0010803,cytokeratin
C0028584,nuclear envelope
C0033300,progeria
C0026046,microtubules
C3893601,a axonemal microtubule
C0242607,microtubuleorganizing center
C0085139,kinesin
C0013352,dynein atpase
C1657581,mitotic sister chromatid separation
C3156332,primary cilia
C3158395,motile cilia
C0016192,flagella
C1706311,junction device
C0034800,receptors cell surface
C0242358,tight junctions
C0887872,adherens junction
C0011703,desmosome
C0230616,hemidesmosomes
C0006631,cadherins
C1154395,homophilic cell adhesion via plasma membrane adhesion molecules
C0021701,integrins
C0887870,focal adhesions
C0022023,ions
C0206117,gap junctions
C0230609,connexon
C0220781,anabolism
C2613145,response to endoplasmic reticulum stress
C1655235,misfolded protein binding
C0028959,oligosaccharides
C1545588,protection
C1624575,acquisition of nutrients from host
C0034962,refuse disposal
C0008972,clinical research
C2612269,cellular component biogenesis
C1515926,alteration
C4277569,protein structural elements
C1519315,signaling molecule
C0597298,protein isoforms
C0205177,active
C0205254,sedentary
C0598175,chromosome segregation
C0028630,nucleotides
C0008545,chromatids
C0043250,injury wounds
C0230467,arch of foot
C0017263,gene expression regulation
C1156187,chromatin organization
C0008633,chromosomes
C1314792,etiology
C0205419,variant
C5236477,single nucleotide variant
C0021920,introns
C0887859,intergenic region
C0079941,open reading frames
C0034987,regulatory sequences nucleic acid
C0012655,disease susceptibility
C0314627,gene function
C0031437,phenotype
C0216162,atp7a protein human
C0314603,genetic
C0270814,spastic syndrome
C0027361,persons
C0040712,language translations
C1819424,dna duplex unwinding
C0233656,mental condensation
C0598496,gene silencing
C0025723,methylation
C0162493,transcriptional activation
C1517891,linker dna
C1326116,sperm dna condensation
C1621524,heterochromatin assembly
C1336789,transcription repressorcorepressor
C1257775,histone code
C0205183,benign
C0227099,mandibular right second primary molar
C0006826,malignant neoplasms
C0887909,rna untranslated
C1337054,primary microrna
C1158726,mrna cleavage
C1521840,target
C0007621,neoplastic cell transformation
C0035681,dnadirected rna polymerase
C0043292,x chromosome
C0010834,cytoplasm
C0040648,transcription factor
C0392747,changing
C0003850,arteriosclerosis
C0004651,bacteriophages
C1511667,dna breaks doublestranded
C0332453,disruption
C0162326,dna sequence
C1721104,dna breaks
C1179933,free ribosome
C0596715,hormone biosynthetic process
C1157478,lipoprotein biosynthetic process
C0029219,organelles
C0030685,patient discharge
C0019629,histocompatibility antigens class i
C1749719,adaptive immune response
C1513372,modeling of cellular pathways
C0178735,macromolecule
C0007367,catalase
C0027021,peroxidase
C0025519,metabolism
C0597295,protein biosynthesis
C0542479,energy physics
C0599814,intracellular transport
C1523935,cellular catabolic process
C1158373,longchain fatty acid metabolic process
C0020281,hydrogen peroxide
C0520510,materials
C0439879,metalloids
C0018966,heme
C5670644,chemical building block
C1706912,barrier
C0031676,phospholipids
C0007613,cell physiology
C0043791,diacylglycerol
C2246331,inositol trisphosphate biosynthetic process
C0205102,internal
C2825491,negative charge
C1710082,signal
C1521761,factor
C0521119,extracellular
C1167250,lipid raft
C0037420,social interaction
C1155494,intracellular signal transduction
C0017968,glycoproteins
C0870883,metabolite
C1708664,leaflet device
C0037083,signal transduction
C0061688,glycosylphosphatidylinositols
C0392148,providing presence regimetherapy
C0007004,carbohydrates
C3821327,cellcell adhesion
C0205369,specific qualifier value
C0005528,biological transport
C1948027,couple action
C4505125,coppertransporting atpases
C0010124,corticosterone
C0700321,small
C1420193,slc4a1 gene
C0175996,protoplasm
C0020283,hydrogenion concentration
C1145667,binding action
C0597488,solute
C0015349,extracellular fluid
C0024432,macrophage
C0027950,neutrophil
C0423896,feeling content
C2936531,gpilinked proteins
C0001455,cyclic amp
C0282625,srcfamily kinases
C1414662,folr1 gene
C0598721,potocytosis
C0026850,muscular dystrophy
C0000768,congenital abnormality
C1184743,bony process
C0302583,iron
C0020445,hypercholesterolemia familial
C0026820,muscle contraction
C1257975,mesenchymal stem cells
C0596981,muscle cells
C0337143,scaffold
C0004461,axon
C0237897,physical strength
C0026837,muscle rigidity
C0027882,neurons
C0041366,biomarkers tumor
C0039526,tensile strength
C1710463,transcription regulation gene
C0596448,dimer
C0007708,centrioles
C5137243,cargo receptor ligand activity
C0443254,mechanical methods
C0026255,mitosis
C0205225,primary
C0334094,proliferation morphologic abnormality
C0007589,cell differentiation process
C0599333,epithelium of bronchus
C0037868,sperm cell
C0023688,ligands
C0250400,occludin
C2718006,claudins
C1518792,pleckstrin homology domains
C0007608,cell motility
C1328819,small molecule
C0205144,junctional
C0007587,cell death
C1155342,cellular response to unfolded protein
C1517945,loss
C1561643,chronic kidney diseases
C0332157,exposure to
C0031412,phenobarbital
C0036226,sarcoplasmic reticulum
C0450237,wastewater
C0065688,mannose6phosphate
C1166738,transgolgi network transport vesicle
C0004391,autophagy
C5380085,double membrane vesicle viral factory membrane
C3887595,autophagosome
C0041538,ubiquitin
C0684063,eukaryota
C0012929,dna mitochondrial
C0729650,constituents
C0079411,generations
C0596952,mitochondrial membranes
C1179889,intermembranous space of mitochondrion
C0282636,cell respiration
C0107264,brown adipose tissue uncoupling protein
C0812409,gradient
C0242184,hypoxia
C3896997,marrow toxic injury
C1520120,warburg effect
C0017725,glucose
C0017797,glutamine
C0205103,intermediate
C1154413,intercellular communication process
C0332197,absent
C0445623,microorganism
C2752543,cellcell contact zone
C0079189,cytokine
C0019932,hormones
C0525011,paracrine communication
C0525010,autocrine communication
C0027908,neurotransmitters
C0039062,synapses
C1870051,sigma2 receptor human
C0014695,ergocalciferol
C0301818,steroid hormone
C0225336,endothelial cells
C0028128,nitric oxide
C0018358,guanylate cyclase
C0018338,cyclic gmp
C1517050,extracellular domain
C1517880,ligand binding
C3820630,nerve growth factor signaling pathway
C1704259,biochemical pathway
C1520113,wnt signaling pathway
C4688374,hedgehog pathway mutation
C0699040,cell surface
C0206588,receptors nuclear
C1235660,notch
C0006675,calcium
C1416917,lrp5 gene
C1149299,growth factor binding
C1449886,adaptor proteins signal transducing
C1879547,activation action
C1425569,zhx2 gene
C0211705,map kinase kinase kinase
C0024906,masturbation
C0220806,chemicals
C1514762,receptor signaling
C0033681,protein tyrosine kinase
C1414387,mark2 gene
C4284029,ceramide kinase human
C0031678,phosphoric monoester hydrolases
C0206364,receptor proteintyrosine kinases
C0205263,induce action
C1336653,tnk1 gene
C0080298,src gene
C0282534,sh2 domain
C0282535,sh3 domain
C0682972,gproteincoupled receptors
C3894201,positive regulation of protein maturation
C1332447,stap1 gene
C0021549,inositol 145trisphosphate
C3824492,receptorligand complex
C1511625,cytoplasmic domain
C1514758,receptor activation process
C0004793,base sequence
C0079119,chlorophyll binding proteins
C0031715,phosphorylation
C0086661,myc gene
C0162508,jun gene
C0079419,tp53 gene
C1149367,transcription factor binding
C0220905,regulatory
C0018284,growth factor
C1149472,growth factor activity
C0597358,receptor binding
C0062534,hepatocyte growth factor
C0064294,fibroblast growth factor 7
C4727023,activating fgfr gene mutation
C1280500,effect
C0242275,epidermal growth factor
C0040691,transforming growth factors
C0040690,transforming growth factor beta
C0812298,flt1 gene
C1517480,gene amplification technique
C0069515,erbb2 receptor
C0003241,antibodies
C0021760,interleukin6
C0016030,fibroblasts
C0014257,endothelium
C0036734,serine endopeptidases
C0025646,methionine
C5446063,mesenchymal epithelial transition inhibitors moa
C0916084,plateletderived growth factor c
C1447990,pdgfd protein human
C0032200,plateletderived growth factor
C0032173,platelet activation
C0001280,armed macrophage
C1135918,myocytes smooth muscle
C1335207,pgf gene
C0078058,vascular endothelial growth factor a
C0388176,vascular endothelial growth factor b
C0388911,vascular endothelial growth factor c
C0004015,aspartic acid
C1256770,vascular endothelial growth factors
C0378796,vascular endothelial growth factor receptor2
C5399960,antivegf humanized monoclonal antibody
C0242383,age related macular degeneration
C0079349,fibroblast growth factor1
C0380603,fibroblast growth factor 2
C1565802,fgf7 protein human
C0221135,blood group antigen s
C0019143,heparan sulfate
C0053932,bone morphogenetic proteins
C0050668,activins
C0021463,inhibin
C0687670,mullerian duct inhibiting substance
C0005821,blood platelets
C0597304,proteolysis
C0076930,transforming growth factor beta receptors
C2746015,protein serinethreonine kinase activity
C0085175,vinculin
C0085182,talin
C1257900,colicin plasmids
C3263722,traumatic andor nontraumatic injury
C0021368,inflammation
C0678594,structure
C0205266,intact
C0927195,stroma
C0019158,hepatitis
C0004799,basement membrane
C1947951,anatomical apparatus
C1167404,interstitial matrix
C0582263,structural protein
C0009325,collagen
C0013765,elastin
C0033692,proteoglycan
C0020196,hyaluronic acid
C0034693,rattus norvegicus
C1302674,immunoglobulin subunits
C0332307,type attribute
C0225328,fibril cell component
C0969669,fibrillar collagen
C0009780,connective tissue
C0225325,collagen fiber
C0075691,syndecan
C1709915,residue
C0024375,proteinlysine 6oxidase
C0003969,ascorbic acid deficiency
C0010674,cystic fibrosis
C2718001,protein misfolding disorders
C0036536,process of secretion
C0239998,recurrent infections
C0010762,cytochrome p450
C0205555,special
C0020289,hydrolase
C1704241,complex molecular entity
C0007620,cell survival
C0031307,phagocytes
C0686817,prokaryote
C0003232,antibiotics
C1658120,plastid fission
C0332466,fused structure
C1327307,nucleolar large rrna transcription by rna polymerase i
C1158805,mitochondrial transcription
C0005572,bioformation
C1704640,matrix array
C0596902,membrane transport proteins
C0014948,estrus
C0162772,reactive oxygen species
C0598754,aerobic glycolysis
C0064582,lactic acid
C1523389,mitochondrial tricarboxylic acid cycle enzyme complex
C0028606,nucleic acids
C0027540,necrosis
C0599732,cell injury
C0007578,cell adhesion molecules
C3658238,gasotransmitters
C0020964,immune response
C0014133,endocrine glands
C0221284,leptocyte
C0021721,intercellular junctions
C0005775,blood circulation
C0887829,nuclear hormone receptors
C2960476,intravascular route of drug administration
C0026844,muscle smooth vascular
C0205357,smooth
C0022009,ion channel
C0751981,gtpbinding protein regulators
C0030940,peptide hydrolases
C0596290,cell proliferation
C1821244,normal development
C0008073,developmental disabilities
C0243125,degradation aspects
C0752312,mitogenactivated protein kinases
C1333198,cytoplasmic protein
C0018353,guanosine triphosphate
C0172203,receptors for activated c kinase
C3891814,substrate
C0031603,phosphates
C0678640,degree of relationship exchange
C1179920,nuclear deoxyribonucleic acid
C2919060,mediator complex
C0746922,anatomic node
C0227088,deciduous maxillary right first molar tooth
C0034963,natural regeneration
C0043240,wound healing
C1328948,rna biosynthesis
C0007590,cell division
C0007586,cell cycle
C0600210,population migration
C0179586,caps
C1623047,tissue regeneration
C0681698,historical period
C1819952,keratinocyte proliferation
C0021868,intracellular membranes
C0033713,protooncogenes
C3849998,egf family of proteins
C0034802,epidermal growth factor receptor
C0227525,hepatocyte
C0243036,genes erbb
C0242379,malignant neoplasm of lung
C0006142,malignant neoplasm of breast
C1622501,migration cell
C0038952,continuance of life
C0252186,prohepatocyte growth factor
C1306837,papillary renal cell carcinoma
C0238463,papillary thyroid carcinoma
C0920425,cancer therapeutic procedure
C1513411,monobasic proteolytic cleavage site
C1515922,alpha granule
C0071253,plateletderived growth factor receptor
C1326347,fibroblast proliferation
C1655807,endothelial cell proliferation
C0440752,inflammatory cell
C0138514,placental growth factor
C0302600,angiogenic process
C0013936,embryonic development
C1257789,lymphangiogenesis
C0595862,vasodilation disorder
C0162337,vascular permeability
C0215848,hypoxiainducible factor 1
C0378516,vascular endothelial growth factor receptor1
C0740457,malignant neoplasm of kidney
C0007102,malignant tumor of colon
C0035309,retinal diseases
C0730285,macular edema due to diabetes mellitus
C4024790,adultonset night blindness
C0032914,preeclampsia
C0016026,fibroblast growth factor
C0018951,hematopoiesis
C0677517,fluoride ion
C0205460,biological
C0385939,smad4 protein human
C0596873,lymphocyte proliferation
C0026606,physical activity
C0040300,body tissue
C0243107,development aspects
C2825961,anchorage
C1179132,scaffold protein
C1300196,organized
C4688352,septal defect repair
C0023890,liver cirrhosis
C0014609,epithelium
C0022646,kidney
C0026559,morphogenesis
C0334133,chronic fibrosis
C1269955,tumor cell invasion
C1267092,smooth muscle tissue
C0969670,nonfibrillar collagens
C0016055,fibronectins
C0178695,hyaluronate
C0022984,laminin
C2983697,arm recoil test
C0237834,resistance psychotherapeutic
C0024069,lubrication
C0013879,elements
C0994334,triple helix molecular structure
C0020276,hydrogen bonding
C0005931,bone and bones
C0039508,tendon structure
C0007301,cartilage
C0005847,blood vessel
C0444099,skin specimen
C1017315,helice
C0037473,sodium
C0331858,matrix pharmaceutical inc
C0003968,ascorbic acid
C0241052,skeletal deformity
C0009333,collagen type iv
C0009334,collagen type ix
C0009337,collagen type vii
C0230899,elastic fibers
C0024796,marfan syndrome
C0060321,fibrillin
C0205250,high
C0022563,keratan sulfate
C0008466,chondroitin sulfates
C0017973,glycosaminoglycans
C0042706,viral core proteins
C0300500,adhesion receptor
C0031727,phosphotransferases
C0680022,member
C0282651,selectins
C1621636,tor signaling
C0020507,hyperplasia
C3820815,cell quiescence
C0598312,dna replication
C0015499,hereditary factor v deficiency
C0225828,myocytes cardiac
C1516334,cell cycle progression
C0079183,cyclins
C0733511,medical surveillance
C1517340,g1s transition checkpoint
C0205616,moderately differentiated qualifier value
C1155874,cell cycle checkpoints
C0231337,senility
C0243045,cyclindependent kinases
C0206454,growth factor receptors
C0872372,totipotent stem cells
C0246957,cyclindependent kinase 4
C0079471,hras gene
C0598086,p27 cell cycle protein
C1366618,cdkn1c gene
C1171322,adult stem cells
C0038250,stem cells
C1155711,stem cell selfrenewal
C1155692,asymmetric cell division
C0011011,daughter
C3893683,symmetric cell division
C0032659,geographic population
C0596508,embryonic stem cells
C0007584,cell count
C0036576,genetic selection
C0376515,bcl2 gene
C0014406,environment
C0005953,bone marrow
C0018956,hematopoietic stem cells
C0598800,pericytes
C1948047,soluble qualifier
C0017189,gastrointestinal tract structure
C0009392,colonystimulating factors
C0013216,pharmacotherapy
C0205307,normal
C0002895,anemia sickle cell
C0043544,structure of zygote
C0872076,pluripotent stem cells
C0001527,adipose tissue
C0162597,stromal cells
C0205615,well differentiated
C0087111,therapeutic procedure
C0010957,tissue damage
C0027061,myocardium
C1299586,has difficulty doing qualifier value
C2717959,induced pluripotent stem cells
C0030281,structure of beta cell of islet
C0441472,clinical action
C5574752,cell biology
C1158770,transcriptional regulation
C1705051,human genome organization
C2936263,epigenomics
C1655731,study of epigenetics
C0205100,peripheral
C0007582,cell communication
C2244223,cellular homeostasis
C0003737,architecture
C3826603,cell metabolism
C1326316,mitochondrial dna replication
C0037080,signal pathways
C0015127,etiology aspects
C0314657,genetic predisposition to disease
C0699748,pathogenesis
C0334866,medical pathologist
C4054467,morphologic complete response
C0449430,physiological stress
C0032101,plants toxic
C0000934,acclimatization
C2698977,capability
C0020488,hypernatremia
C0205082,severe severity modifier
C0021027,immunoglobulins
C1552857,chapter
C2609414,acute kidney injury
C0234402,stimulus
C0037176,singlegene defects
C0264995,occlusion of artery disorder
C0005767,blood
C1516240,capacity
C3245505,potential
C0013227,pharmaceutical preparations
C0439861,substance
C0020962,immune system
C0020947,immune adherence reaction
C0443146,autoimmune reaction
C0020517,hypersensitivity
C0019080,hemorrhage
C0029434,osteogenesis imperfecta
C0013720,ehlersdanlos syndrome
C1301886,diameter qualifier value
C0150775,social networks
C4021790,abnormality of the skeletal system
C1762617,weak
C0470187,availability of
C0441722,force
C0007447,cations
C0001511,tissue adhesions
disulfide-linked dimer,disulfidelinked dimer
C0596790,interstitial
C0124761,ku autoantigen
C0026473,monocytes
C0015982,fibrin
C0019134,heparin
C0333562,deposition
C1317977,epithelial metaplasia
C0599220,protein subunits
C0032176,platelet aggregation
C0152060,transection procedure
C0079395,g1 phase
C0080129,s phase
C0007591,cell division phases
C0079394,resting phase cell cycle
C0018790,cardiac arrest
C1514485,proliferation
C0040627,transactivators
C0012860,dna damage
C0919418,cyclindependent kinase inhibitor proteins
C0439064,numerous
C0287850,s100a4 protein human
C0232902,migrated
C0871161,property attribute
C0019868,homeostasis
C1516345,cell differentiation or development pathway
C0205618,undifferentiated
C0038435,stress
C0553580,ewings sarcoma
C1519561,totipotent
C0231448,extension
C0392756,reduced
C0022131,islets of langerhans
C0449913,system
C0178784,organ
C0017446,geographic locations
C1281722,limbus of cochlear duct body structure
C0227427,structure of anal sinus
C0023884,liver
C0006104,brain
C1709634,precursor
C0031227,personnel turnover
C0556984,three times daily
C0229664,peripheral blood
C0333668,depletion
C0023418,leukemia
C0005773,blood cells
C0003507,aortic valve stenosis
C0013935,embryo
C0021135,in vitro publication type
C0018494,hair
C3854181,nevus sebaceous
C0014520,epidermis
C0178499,base
C0227276,paneth cells
C0005388,bile fluid
C1136335,multipotent stem cells
C1257974,regenerative medicine
C0035139,surgical replantation
C0027051,myocardial infarction
C0038454,cerebrovascular accident
C1272745,improving qualifier value
C0030705,patients
C0205396,identified
C1257909,diploid cell
C3146294,generation action
C0282637,cell lineage
C0027765,nervous system disorder
C1156185,nucleus organization
C1516511,chromatin structure
C0020951,immune complex diseases
C0162534,prion diseases
C0205463,physiological
C0029237,physiologic organization
C0029246,organization administrative structures
C1523867,intracellular organelle
C0376706,mechanics
C4505258,proteostasis
C0686907,consequence of
C0026528,moral obligations
C0870705,control act information
C0814812,overview
C3548493,mitochondrial outer membrane permeabilization
C3271765,collagenactivated signaling pathway
C0678558,plasticity
C4042875,cell plasticity
C0220912,aspects of signs
C0020538,hypertensive disease
C0011847,diabetes
C0005941,bone diseases developmental
C0039798,therapeutic aspects
C0205343,reversible
C0851162,infections of musculoskeletal system
C0040549,toxin
C0733755,positioning attribute
C0007581,cellular senescence
C4277654,microtrauma physical
C0243163,supply aspects
C0678695,nutrients
C0002871,anemia
C0007018,carbon monoxide
C0001869,air pollutants
C0021576,insecticides
C0003947,asbestos
C0239059,cigarette smoke substance
C0001962,ethanol
C4552279,tissue injury
C0600688,toxic effect
C0036140,salts
C0042776,virus
C0004611,bacteria
C0016832,fungi
C0033739,protozoa
C0450254,pathogenic organism
C0008625,chromosome aberrations
C0525038,amino acid substitution
C5554615,met gene alteration positive
C0815043,protein organized by function
C0042842,vitamin a deficiency
C0043251,wounds and injuries
C0034519,electromagnetic radiation
C0013781,shock from electric current
C0001811,aging
C0152254,fatty degeneration
C0991568,drops drug form
C0014457,eosinophilia
C0456205,contents
C0035553,ribosomes
C0032592,polyribosomes
C0020564,hypertrophy
C0004745,barbiturates
C0027310,nadphferrihemoprotein reductase
C0441713,chemical injury
C0013220,drug tolerance
C0007022,carbon tetrachloride
C0332664,injured
C3546453,accidental cell death
C3546446,regulated cell death
C0853813,local reaction
C0023516,leukocytes
C1096176,mitochondrial damage
C1159823,apoptotic nuclear changes
C0333904,karyopyknosis
C0702266,basophilia
C1522058,coagulative necrosis
C3887644,inflammatory infiltrate
C0549177,large
C0439751,entire
C0449774,patterns
C0333513,fibrinoid necrosis
C4055264,cellular debris
C0751982,neutrophil infiltration
C0021308,infarction
C0333509,liquefactive necrosis
C0311419,viscous
C0333361,acute inflammation
C0004623,bacterial infections
C0034161,pus
C0015385,limb structure
C0333512,caseous necrosis
C0205234,focal
C0596083,amorphous solid
C0041327,tuberculosis pulmonary
C0018188,granuloma
C0015668,fat necrosis
C0001339,pancreatitis acute
C0920330,pancreatic enzyme
C0023764,lipase
C0205195,combined
C0003842,arteries
C0032120,plasma proteins
C0031036,polyarteritis nodosa
C1519517,tissuespecific splicing
C1711208,bile duct epithelium
C3269134,apoptotic bodies
C4053778,focus of cellular alteration
C0024264,lymphocyte
C0226890,structure of intestinal epithelium
C0040112,thymus extracts
C0304497,cytotoxic agent product
C0314732,infectious agent
C0243123,biochemical pathways aspect
C0010656,caspase
C2717970,cysteine proteases
C1658974,mitochondrianucleus signaling pathway
C1720947,receptors death domain
C0010749,cytochromes c
C0015923,fetal alcohol syndrome
C0077503,tumor necrosis factor receptor
C0016693,free radicals
C1332397,bcl2l1 gene
C0812198,bax gene
C0574198,bashkir language
C1511012,bh3 domain
C1159825,caspase activation
C4313872,nuclear fragmentation
C0242821,human body
C1824510,rtl10 gene
C4543203,effector disposition
C0015376,extravasation
C4727027,bcl2 family protein
C0183210,sensor device
C0178555,chemical cofactor
C1336652,tnf receptor family gene
C1511738,death domain sequence
C0253023,tumor necrosis factor ligand superfamily member 6
C1515879,activated lymphocyte
C1539478,faslg gene
C0667830,caspase8
C1521733,pathologic
C0013080,down syndrome
C0025521,inborn errors of metabolism
C0282613,developed countries
C0028754,obesity
C0011860,diabetes mellitus noninsulindependent
C0013470,eating
C0030232,pallor
C1513853,non mouse
C0233426,personal appearance
C0333930,eosinophilic
C4235041,blebbing
C4284463,blunt object
C0013604,edema
C0541879,detachment psychological
C0086168,dissociation
C0026973,myelin sheath
C0036557,sedatives
C0014544,epilepsy
C1260954,morphologically altered structure
C0205148,surface
C0442808,increasing qualifier value
C0025516,metabolic detoxication drug
C0001948,alcohol consumption
C3827361,inspiratory capacity reversibility
C0009932,control groups
C1510467,trauma qualifier
C0960371,prss1 protein human
C0205288,microscopic qualifier value
C0304231,therapeutic agent
C2610958,necroptosis
C2587213,control function
C0332255,fragment of qualifier value
C3268855,cell suicide
C0030660,pathologic processes
C3898900,healthy
C0026019,electron microscopy
2 to 3 hours after the death of the cells,2 to 3 hours after the death of the cells
C0430389,light microscopy
C0439227,hour
C0440266,debris
C0205202,corrected
C1179962,cytoplasmic organelle
C0042219,vacuole
C1157894,dna catabolic process
C0577559,mass of body structure
C0332472,abnormal fragmented structure
C0333732,karyorrhexis
C0024348,lysis
C0439228,day
C0029436,osteolysis essential
C0357197,calcium salts
C0332479,shapes
C0033085,biologic preservation
C0036720,serine
C0677043,histopathology
C0026946,mycoses
C3540014,central nervous system diagnostic radiopharmaceuticals
C0205197,complete
C0205251,low
C0005839,blood supply aspects
C0017086,gangrene
C0333348,inflammatory
C1261381,destructive procedure surgical
C0000726,abdomen
C0596030,acinar cell
C0687028,duct organ structure
C0041004,triglycerides
C0007457,caucasian
C0025474,mesentery
C0178913,blood specimen
C1550100,specimen type serum
C1710548,unique
C0009915,contractile proteins
C0312399,alkaline phosphatase isoenzyme bone fraction
C0002594,transaminases
C2745888,markers device
C1516044,apoptotic
C4062502,physiological condition
C0752135,pathological conditions anatomical
C0004364,autoimmune diseases
C0031842,physiology
C0449297,clearance
C3269143,intrinsic apoptotic signaling pathway
C1565115,apoptosis inducing proteins
C0182953,regulators device
C0014230,endonuclease
C0086282,family member
C1326275,regulation of mitochondrial membrane permeability
C0015576,family
C0910167,caspase9
C0245662,cd95 antigens
C4317010,reactive lymphocyte
C0039195,cytotoxic tlymphocytes
C2246453,cellular pigmentation
C0019612,histiocytes
C0031304,bacteriophage receptors
C2610960,pyroptosis
C2936529,inflammasomes
C0009368,colon structure body structure
C0009450,communicable diseases
C0449719,part
C0032529,genetic polymorphism
C1969088,cisd2 gene
C2754974,ige b cell receptor complex
C0025018,meat products
C0040223,time
C0026845,muscle tissue
C0392209,nutritional status
C0458083,hormonal
C1138555,pharmacogenomics
C2718059,precision medicine
C0205101,extrinsic
C0205227,endogenous
C0242606,oxidative stress
C2754519,cellular response to atp
C3158779,protein deacylation
C0017952,glycolysis
C4288364,proliferating cell count
C0334227,tumor cells malignant
C1837767,loss of facial adipose tissue
C0001128,acids
C0035126,reperfusion injury
C0035124,reperfusion therapy
C0009498,complement system proteins
C0009528,complement activation
C0442740,no reaction
C0302920,molecular oxygen
C0038836,superoxides
C0063146,hydroxyl radical
C0205412,inadequate qualifier
C4055506,accumulation
C0038838,superoxide dismutase
C0033268,production
C1166752,phagocytic vesicle membrane
C0122922,hypochlorite
C0136157,peroxynitrite
C0034538,ionizing radiation
C1151528,glutathione peroxidase activity
