cui,umls_concept,entity_norm
C0026820,Muscle Contraction,muscle contraction
C1257975,Mesenchymal Stem Cells,mesenchymal stem cells
C0596981,Muscle Cells,muscle cells
C0337143,Scaffold,scaffold
C0004461,Axon,axon
C0237897,Physical Strength,physical strength
C0026837,Muscle Rigidity,muscle rigidity
C0027882,Neurons,neurons
C0041366,"Biomarkers, Tumor",biomarkers tumor
C0039526,tensile strength,tensile strength
C1710463,Transcription Regulation Gene,transcription regulation gene
C0596448,dimer,dimer
C0007708,Centrioles,centrioles
C5137243,cargo receptor ligand activity,cargo receptor ligand activity
C0443254,Mechanical Methods,mechanical methods
C0026255,Mitosis,mitosis
C0205225,Primary,primary
C0334094,Proliferation (morphologic abnormality),proliferation morphologic abnormality
C0007589,Cell Differentiation process,cell differentiation process
C0599333,Epithelium of bronchus,epithelium of bronchus
C0037868,sperm cell,sperm cell
C0023688,Ligands,ligands
C0250400,occludin,occludin
C2718006,Claudins,claudins
C1518792,Pleckstrin Homology Domains,pleckstrin homology domains
C0007608,cell motility,cell motility
C1328819,Small Molecule,small molecule
C0205144,Junctional,junctional
C0007587,Cell Death,cell death
C1155342,cellular response to unfolded protein,cellular response to unfolded protein
C1517945,Loss,loss
C1561643,Chronic Kidney Diseases,chronic kidney diseases
C0332157,Exposure to,exposure to
C0031412,phenobarbital,phenobarbital
C0036226,Sarcoplasmic Reticulum,sarcoplasmic reticulum
C0450237,Wastewater,wastewater
C0065688,mannose-6-phosphate,mannose6phosphate
C1166738,trans-Golgi network transport vesicle,transgolgi network transport vesicle
C0004391,Autophagy,autophagy
C5380085,double membrane vesicle viral factory membrane,double membrane vesicle viral factory membrane
C3887595,Autophagosome,autophagosome
C0041538,Ubiquitin,ubiquitin
C0684063,Eukaryota,eukaryota
C0012929,"DNA, Mitochondrial",dna mitochondrial
C0729650,Constituents,constituents
C0079411,Generations,generations
C0596952,Mitochondrial Membranes,mitochondrial membranes
C1179889,Intermembranous space of mitochondrion,intermembranous space of mitochondrion
C0282636,Cell Respiration,cell respiration
C0107264,brown adipose tissue uncoupling protein,brown adipose tissue uncoupling protein
C0812409,Gradient,gradient
C0242184,Hypoxia,hypoxia
C3896997,Marrow Toxic Injury,marrow toxic injury
C1520120,Warburg Effect,warburg effect
C0017725,glucose,glucose
C0017797,glutamine,glutamine
C0205103,Intermediate,intermediate
C1154413,Intercellular Communication Process,intercellular communication process
C0332197,Absent,absent
C0445623,Microorganism,microorganism
C2752543,cell-cell contact zone,cellcell contact zone
C0079189,cytokine,cytokine
C0019932,Hormones,hormones
C0525011,Paracrine Communication,paracrine communication
C0525010,Autocrine Communication,autocrine communication
C0027908,Neurotransmitters,neurotransmitters
C0039062,Synapses,synapses
C1870051,"sigma-2 receptor, human",sigma2 receptor human
C0014695,ergocalciferol,ergocalciferol
C0301818,Steroid hormone,steroid hormone
C0225336,Endothelial Cells,endothelial cells
C0028128,nitric oxide,nitric oxide
C0018358,Guanylate Cyclase,guanylate cyclase
C0018338,Cyclic GMP,cyclic gmp
C1517050,Extracellular Domain,extracellular domain
C1517880,Ligand Binding,ligand binding
C3820630,nerve growth factor signaling pathway,nerve growth factor signaling pathway
C1704259,Biochemical Pathway,biochemical pathway
C1520113,Wnt Signaling Pathway,wnt signaling pathway
C4688374,Hedgehog Pathway Mutation,hedgehog pathway mutation
C0699040,Cell surface,cell surface
C0206588,"Receptors, Nuclear",receptors nuclear
C1235660,Notch,notch
C0006675,calcium,calcium
C1416917,LRP5 gene,lrp5 gene
C1149299,Growth Factor Binding,growth factor binding
C1449886,"Adaptor Proteins, Signal Transducing",adaptor proteins signal transducing
C1879547,Activation action,activation action
C1425569,ZHX2 gene,zhx2 gene
C0211705,MAP Kinase Kinase Kinase,map kinase kinase kinase
C0024906,Masturbation,masturbation
C0220806,Chemicals,chemicals
C1514762,Receptor Signaling,receptor signaling
C0033681,Protein Tyrosine Kinase,protein tyrosine kinase
C1414387,MARK2 gene,mark2 gene
C4284029,"Ceramide Kinase, Human",ceramide kinase human
C0031678,Phosphoric Monoester Hydrolases,phosphoric monoester hydrolases
C0206364,Receptor Protein-Tyrosine Kinases,receptor proteintyrosine kinases
C0205263,Induce (action),induce action
C1336653,TNK1 gene,tnk1 gene
C0080298,SRC gene,src gene
C0282534,SH2 Domain,sh2 domain
C0282535,SH3 Domain,sh3 domain
C0682972,G-Protein-Coupled Receptors,gproteincoupled receptors
C3894201,positive regulation of protein maturation,positive regulation of protein maturation
C1332447,STAP1 gene,stap1 gene
C0021549,"Inositol 1,4,5-Trisphosphate",inositol 145trisphosphate
C3824492,receptor-ligand complex,receptorligand complex
C1511625,Cytoplasmic Domain,cytoplasmic domain
C1514758,Receptor Activation Process,receptor activation process
C0004793,Base Sequence,base sequence
C0079119,Chlorophyll Binding Proteins,chlorophyll binding proteins
C0031715,Phosphorylation,phosphorylation
C0086661,MYC gene,myc gene
C0162508,JUN gene,jun gene
C0079419,TP53 gene,tp53 gene
C1149367,transcription factor binding,transcription factor binding
C0220905,regulatory,regulatory
C0018284,Growth Factor,growth factor
C1149472,growth factor activity,growth factor activity
C0597358,Receptor Binding,receptor binding
C0062534,Hepatocyte Growth Factor,hepatocyte growth factor
C0064294,fibroblast growth factor 7,fibroblast growth factor 7
C4727023,Activating FGFR Gene Mutation,activating fgfr gene mutation
C1280500,Effect,effect
C0242275,epidermal growth factor,epidermal growth factor
C0040691,Transforming Growth Factors,transforming growth factors
C0040690,Transforming Growth Factor beta,transforming growth factor beta
C0812298,FLT1 gene,flt1 gene
C1517480,Gene Amplification Technique,gene amplification technique
C0069515,erbB-2 Receptor,erbb2 receptor
C0003241,Antibodies,antibodies
C0021760,interleukin-6,interleukin6
C0016030,Fibroblasts,fibroblasts
C0014257,Endothelium,endothelium
C0036734,Serine Endopeptidases,serine endopeptidases
C0025646,methionine,methionine
C5446063,Mesenchymal Epithelial Transition Inhibitors [MoA],mesenchymal epithelial transition inhibitors moa
C0916084,platelet-derived growth factor C,plateletderived growth factor c
C1447990,"PDGFD protein, human",pdgfd protein human
C0032200,Platelet-Derived Growth Factor,plateletderived growth factor
C0032173,Platelet Activation,platelet activation
C0001280,Armed macrophage,armed macrophage
C1135918,"Myocytes, Smooth Muscle",myocytes smooth muscle
C1335207,PGF gene,pgf gene
C0078058,Vascular Endothelial Growth Factor A,vascular endothelial growth factor a
C0388176,Vascular Endothelial Growth Factor B,vascular endothelial growth factor b
C0388911,Vascular Endothelial Growth Factor C,vascular endothelial growth factor c
C0004015,aspartic acid,aspartic acid
C1256770,Vascular Endothelial Growth Factors,vascular endothelial growth factors
C0378796,Vascular Endothelial Growth Factor Receptor-2,vascular endothelial growth factor receptor2
C5399960,Anti-VEGF Humanized Monoclonal Antibody,antivegf humanized monoclonal antibody
C0242383,Age related macular degeneration,age related macular degeneration
C0079349,fibroblast growth factor-1,fibroblast growth factor1
C0380603,Fibroblast Growth Factor 2,fibroblast growth factor 2
C1565802,"FGF7 protein, human",fgf7 protein human
C0221135,Blood group antigen S,blood group antigen s
C0019143,heparan sulfate,heparan sulfate
C0053932,Bone Morphogenetic Proteins,bone morphogenetic proteins
C0050668,Activins,activins
C0021463,INHIBIN,inhibin
C0687670,Mullerian duct inhibiting substance,mullerian duct inhibiting substance
C0005821,Blood Platelets,blood platelets
C0597304,Proteolysis,proteolysis
C0076930,Transforming Growth Factor beta Receptors,transforming growth factor beta receptors
C2746015,protein serine/threonine kinase activity,protein serinethreonine kinase activity
C0085175,Vinculin,vinculin
C0085182,Talin,talin
C1257900,Colicin Plasmids,colicin plasmids
C3263722,Traumatic AND/OR non-traumatic injury,traumatic andor nontraumatic injury
C0021368,Inflammation,inflammation
C0678594,Structure,structure
C0205266,Intact,intact
C0927195,Stroma,stroma
C0019158,Hepatitis,hepatitis
C0004799,Basement membrane,basement membrane
C1947951,Anatomical Apparatus,anatomical apparatus
C1167404,interstitial matrix,interstitial matrix
C0582263,Structural protein,structural protein
C0009325,collagen,collagen
C0013765,elastin,elastin
C0033692,Proteoglycan,proteoglycan
C0020196,hyaluronic acid,hyaluronic acid
C0034693,Rattus norvegicus,rattus norvegicus
C1302674,Immunoglobulin Subunits,immunoglobulin subunits
C0332307,Type - attribute,type attribute
C0225328,Fibril - cell component,fibril cell component
C0969669,Fibrillar Collagen,fibrillar collagen
C0009780,Connective Tissue,connective tissue
C0225325,Collagen fiber,collagen fiber
C0075691,syndecan,syndecan
C1709915,Residue,residue
C0024375,Protein-Lysine 6-Oxidase,proteinlysine 6oxidase
C0003969,Ascorbic Acid Deficiency,ascorbic acid deficiency
C0010674,Cystic Fibrosis,cystic fibrosis
C2718001,Protein Misfolding Disorders,protein misfolding disorders
C0036536,Process of secretion,process of secretion
C0239998,Recurrent infections,recurrent infections
C0010762,Cytochrome P450,cytochrome p450
C0205555,Special,special
C0020289,Hydrolase,hydrolase
C1704241,complex (molecular entity),complex molecular entity
C0007620,Cell Survival,cell survival
C0031307,Phagocytes,phagocytes
C0686817,Prokaryote,prokaryote
C0003232,Antibiotics,antibiotics
C1658120,plastid fission,plastid fission
C0332466,Fused structure,fused structure
C1327307,nucleolar large rRNA transcription by RNA polymerase I,nucleolar large rrna transcription by rna polymerase i
C1158805,mitochondrial transcription,mitochondrial transcription
C0005572,bioformation,bioformation
C1704640,Matrix Array,matrix array
C0596902,Membrane Transport Proteins,membrane transport proteins
C0014948,Estrus,estrus
C0162772,Reactive Oxygen Species,reactive oxygen species
C0598754,aerobic glycolysis,aerobic glycolysis
C0064582,lactic acid,lactic acid
C1523389,mitochondrial tricarboxylic acid cycle enzyme complex,mitochondrial tricarboxylic acid cycle enzyme complex
C0028606,Nucleic Acids,nucleic acids
C0027540,Necrosis,necrosis
C0599732,cell injury,cell injury
C0007578,Cell Adhesion Molecules,cell adhesion molecules
C3658238,Gasotransmitters,gasotransmitters
C0020964,Immune response,immune response
C0014133,Endocrine Glands,endocrine glands
C0221284,Leptocyte,leptocyte
C0021721,Intercellular Junctions,intercellular junctions
C0005775,Blood Circulation,blood circulation
C0887829,Nuclear Hormone Receptors,nuclear hormone receptors
C2960476,Intravascular Route of Drug Administration,intravascular route of drug administration
C0026844,"Muscle, Smooth, Vascular",muscle smooth vascular
C0205357,Smooth,smooth
C0022009,Ion Channel,ion channel
C0751981,GTP-Binding Protein Regulators,gtpbinding protein regulators
C0030940,Peptide Hydrolases,peptide hydrolases
C0596290,Cell Proliferation,cell proliferation
C1821244,Normal development,normal development
C0008073,Developmental Disabilities,developmental disabilities
C0243125,degradation aspects,degradation aspects
C0752312,Mitogen-Activated Protein Kinases,mitogenactivated protein kinases
C1333198,Cytoplasmic Protein,cytoplasmic protein
C0018353,Guanosine Triphosphate,guanosine triphosphate
C0172203,Receptors for Activated C Kinase,receptors for activated c kinase
C3891814,Substrate,substrate
C0031603,Phosphates,phosphates
C0678640,degree of relationship - exchange,degree of relationship exchange
C1179920,Nuclear deoxyribonucleic acid,nuclear deoxyribonucleic acid
C2919060,Mediator Complex,mediator complex
C0746922,Anatomic Node,anatomic node
C0227088,Deciduous maxillary right first molar tooth,deciduous maxillary right first molar tooth
C0034963,Natural regeneration,natural regeneration
C0043240,Wound Healing,wound healing
C1328948,RNA biosynthesis,rna biosynthesis
C0007590,Cell division,cell division
C0007586,Cell Cycle,cell cycle
C0600210,population migration,population migration
C0179586,Caps,caps
C1623047,tissue regeneration,tissue regeneration
C0681698,historical period,historical period
C1819952,keratinocyte proliferation,keratinocyte proliferation
C0021868,Intracellular Membranes,intracellular membranes
C0033713,Proto-Oncogenes,protooncogenes
C3849998,EGF Family of Proteins,egf family of proteins
C0034802,Epidermal Growth Factor Receptor,epidermal growth factor receptor
C0227525,Hepatocyte,hepatocyte
C0243036,"Genes, erbB",genes erbb
C0242379,Malignant neoplasm of lung,malignant neoplasm of lung
C0006142,Malignant neoplasm of breast,malignant neoplasm of breast
C1622501,"Migration, Cell",migration cell
C0038952,Continuance of life,continuance of life
C0252186,pro-hepatocyte growth factor,prohepatocyte growth factor
C1306837,Papillary Renal Cell Carcinoma,papillary renal cell carcinoma
C0238463,Papillary thyroid carcinoma,papillary thyroid carcinoma
C0920425,Cancer Therapeutic Procedure,cancer therapeutic procedure
C1513411,Monobasic Proteolytic Cleavage Site,monobasic proteolytic cleavage site
C1515922,Alpha Granule,alpha granule
C0071253,Platelet-Derived Growth Factor Receptor,plateletderived growth factor receptor
C1326347,fibroblast proliferation,fibroblast proliferation
C1655807,endothelial cell proliferation,endothelial cell proliferation
C0440752,Inflammatory cell,inflammatory cell
C0138514,Placental Growth Factor,placental growth factor
C0302600,Angiogenic Process,angiogenic process
C0013936,Embryonic Development,embryonic development
C1257789,Lymphangiogenesis,lymphangiogenesis
C0595862,Vasodilation disorder,vasodilation disorder
C0162337,Vascular Permeability,vascular permeability
C0215848,Hypoxia-Inducible Factor 1,hypoxiainducible factor 1
C0378516,Vascular Endothelial Growth Factor Receptor-1,vascular endothelial growth factor receptor1
C0740457,Malignant neoplasm of kidney,malignant neoplasm of kidney
C0007102,Malignant tumor of colon,malignant tumor of colon
C0035309,Retinal Diseases,retinal diseases
C0730285,Macular edema due to diabetes mellitus,macular edema due to diabetes mellitus
C4024790,Adult-onset night blindness,adultonset night blindness
C0032914,Pre-Eclampsia,preeclampsia
C0016026,Fibroblast Growth Factor,fibroblast growth factor
C0018951,Hematopoiesis,hematopoiesis
C0677517,fluoride ion,fluoride ion
C0205460,biological,biological
C0385939,"SMAD4 protein, human",smad4 protein human
C0596873,lymphocyte proliferation,lymphocyte proliferation
C0026606,Physical activity,physical activity
C0040300,Body tissue,body tissue
C0243107,development aspects,development aspects
C2825961,Anchorage,anchorage
C1179132,Scaffold protein,scaffold protein
C1300196,Organized,organized
C4688352,Septal Defect Repair,septal defect repair
C0023890,Liver Cirrhosis,liver cirrhosis
C0014609,Epithelium,epithelium
C0022646,Kidney,kidney
C0026559,Morphogenesis,morphogenesis
